Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,UTTAR PRADESH,FAIZABAD,3,Lallu Singh,BJP,1,Post Graduate,59,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=8397
2014,UTTAR PRADESH,FAIZABAD,1,Jai Ram Singh,Lokpriya Samaj Party,0,Post Graduate,72,"Rs 59,11,740 ~ 59 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8060
2014,UTTAR PRADESH,FAIZABAD,2,Jitendra Kumar Singh,BSP,17,12th Pass,47,"Rs 3,66,87,134 ~ 3 Crore+","Rs 46,31,484 ~ 46 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8055
2014,UTTAR PRADESH,FAIZABAD,4,Makasud Ali,Peace Party,0,8th Pass,47,"Rs 23,10,000 ~ 23 Lacs+","Rs 30,00,000 ~ 30 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8059
2014,UTTAR PRADESH,FAIZABAD,5,Mayuri Tiwari,AAP,0,Post Graduate,35,"Rs 88,87,812 ~ 88 Lacs+","Rs 33,00,000 ~ 33 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8058
2014,UTTAR PRADESH,FAIZABAD,6,Mitrasen Yadav,SP,16,12th Pass,80,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8056
2014,UTTAR PRADESH,FAIZABAD,7,Nasreen Bano,Rashtriya Ulama Council,0,8th Pass,42,"Rs 31,52,116 ~ 31 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8703
2014,UTTAR PRADESH,FAIZABAD,8,Nirmal Khatri,INC,0,Doctorate,63,"Rs 93,64,711 ~ 93 Lacs+","Rs 2,98,340 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8057
2014,UTTAR PRADESH,FAIZABAD,9,Radhika Prasad,Indian Savarn Samaj Party,0,Post Graduate,61,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8702
2014,UTTAR PRADESH,FAIZABAD,10,Ram Janam,Moulik Adhikar Party,0,10th Pass,44,"Rs 96,780 ~ 96 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8701
2014,UTTAR PRADESH,FAIZABAD,11,Shailendra Kumar Shukla,Naitik Party,0,Graduate Professional,60,"Rs 51,800 ~ 51 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8697
