Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,UTTAR PRADESH,GHAZIPUR,12,Manoj Sinha,BJP,0,Graduate Professional,55,Not Available,Not Available,Yes
2014,UTTAR PRADESH,GHAZIPUR,1,Arun Kumar Singh,IND,8,Post Graduate,53,"Rs 1,51,28,298 ~ 1 Crore+",Rs 0 ~,No
2014,UTTAR PRADESH,GHAZIPUR,2,Bharat,Janta Raj Party,0,12th Pass,44,"Rs 15,03,000 ~ 15 Lacs+","Rs 80,000 ~ 80 Thou+",No
2014,UTTAR PRADESH,GHAZIPUR,3,Brijbhushan,AAP,0,Post Graduate,48,Not Available,Not Available,No
2014,UTTAR PRADESH,GHAZIPUR,4,Deendayal,Pragatisheel Manav Samaj Party,0,Doctorate,39,"Rs 81,45,500 ~ 81 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,GHAZIPUR,5,Dharam Yadav Urf D.p.yadav,Rashtriya Parivartan Dal,5,Graduate,60,"Rs 59,51,65,067 ~ 59 Crore+","Rs 8,78,59,264 ~ 8 Crore+",No
2014,UTTAR PRADESH,GHAZIPUR,6,Gupteshwar,Lok Dal,0,10th Pass,54,Not Available,Not Available,No
2014,UTTAR PRADESH,GHAZIPUR,7,Ishwar Dev,Adarsh Rashtriya Vikas Party,0,10th Pass,60,"Rs 17,60,000 ~ 17 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,GHAZIPUR,8,Ishwari,CPI(ML)L,1,Graduate Professional,53,"Rs 17,10,500 ~ 17 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,GHAZIPUR,9,Kailash Nath Singh Yadav,BSP,1,Graduate,56,Not Available,Not Available,No
2014,UTTAR PRADESH,GHAZIPUR,10,Kuber,IND,0,8th Pass,53,"Rs 6,11,269 ~ 6 Lacs+","Rs 57,000 ~ 57 Thou+",No
2014,UTTAR PRADESH,GHAZIPUR,11,Lakshaman,IND,0,5th Pass,71,"Rs 2,20,000 ~ 2 Lacs+","Rs 1,60,000 ~ 1 Lacs+",No
2014,UTTAR PRADESH,GHAZIPUR,13,Mohd Maqsood Khan,INC,2,Graduate,35,"Rs 17,21,667 ~ 17 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,GHAZIPUR,14,Omkar Chauhan,Janvadi Party(Socialist),0,Post Graduate,40,"Rs 75,762 ~ 75 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,GHAZIPUR,15,Pappu,Eklavya Samaj Party,0,12th Pass,0,Not Available,Not Available,No
2014,UTTAR PRADESH,GHAZIPUR,16,Rajendra Nath Ram,Bahujan Mukti Party,0,Graduate Professional,55,"Rs 5,70,820 ~ 5 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,GHAZIPUR,17,Satyadev Yadav,Naitik Party,1,Post Graduate,51,"Rs 10,30,20,000 ~ 10 Crore+","Rs 2,00,000 ~ 2 Lacs+",No
2014,UTTAR PRADESH,GHAZIPUR,18,Shivkanya Kushwaha,SP,0,5th Pass,47,Not Available,Not Available,No
