Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,UTTAR PRADESH,JHANSI,15,Uma Bharti,BJP,13,5th Pass,55,Not Available,Not Available,Yes
2014,UTTAR PRADESH,JHANSI,1,Anuradha Sharma,BSP,0,12th Pass,55,"Rs 31,63,66,402 ~ 31 Crore+",Rs 0 ~,No
2014,UTTAR PRADESH,JHANSI,2,Archana,AAP,0,Post Graduate,45,"Rs 2,97,34,417 ~ 2 Crore+","Rs 10,00,000 ~ 10 Lacs+",No
2014,UTTAR PRADESH,JHANSI,3,Chandrapal Singh Yadav,SP,9,Doctorate,54,Not Available,Not Available,No
2014,UTTAR PRADESH,JHANSI,4,Chintamani,Akhil Rashtrawadi Party,0,Graduate Professional,65,"Rs 27,36,855 ~ 27 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,JHANSI,5,Dilshad Ahmad,IND,0,Post Graduate,34,"Rs 10,52,000 ~ 10 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,JHANSI,6,Kuldeep Kumar,IND,0,Graduate,38,Not Available,Not Available,No
2014,UTTAR PRADESH,JHANSI,7,Maulana Mohammad,Peace Party,0,Others,44,"Rs 51,08,500 ~ 51 Lacs+","Rs 2,50,000 ~ 2 Lacs+",No
2014,UTTAR PRADESH,JHANSI,8,Naresh Kumar,Rashtriya Sarvajan Party,0,8th Pass,29,"Rs 3,33,900 ~ 3 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,JHANSI,9,Pradeep Kumar Jain,INC,2,Post Graduate,51,Not Available,Not Available,No
2014,UTTAR PRADESH,JHANSI,10,Rachna Sharma,IND,0,Graduate,30,"Rs 66,000 ~ 66 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,JHANSI,11,Rajendra Kumar,IND,0,Post Graduate,34,"Rs 11,80,000 ~ 11 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,JHANSI,12,Ram Kumar Ank Shastri,IND,0,Graduate,36,Not Available,Not Available,No
2014,UTTAR PRADESH,JHANSI,13,Sunil Massey,SHS,0,12th Pass,44,"Rs 3,113 ~ 3 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,JHANSI,14,Tula Ram,IND,0,10th Pass,49,"Rs 2,31,000 ~ 2 Lacs+",Rs 0 ~,No
