Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,UTTAR PRADESH,KANNAUJ,1,Dimple Yadav,SP,0,Graduate,36,"Rs 28,05,16,418 ~ 28 Crore+","Rs 69,17,710 ~ 69 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=4411
2014,UTTAR PRADESH,KANNAUJ,2,Ganga Charan,Rashtriya Kranti Party,0,Post Graduate,48,"Rs 15,38,638 ~ 15 Lacs+","Rs 75,000 ~ 75 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5035
2014,UTTAR PRADESH,KANNAUJ,3,Imran Bin Zafar,AAP,0,Graduate,34,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5039
2014,UTTAR PRADESH,KANNAUJ,4,Muhar Singh,IND,0,10th Pass,54,"Rs 64,01,000 ~ 64 Lacs+","Rs 60,000 ~ 60 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4409
2014,UTTAR PRADESH,KANNAUJ,5,Nirmal Kumar,BSP,0,Post Graduate,45,"Rs 4,79,27,051 ~ 4 Crore+","Rs 1,38,42,793 ~ 1 Crore+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4410
2014,UTTAR PRADESH,KANNAUJ,6,Pradeep Kumar,IND,0,10th Pass,32,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5040
2014,UTTAR PRADESH,KANNAUJ,7,Pushpa Devi,Bhartiya Shakti Chetna Party,0,12th Pass,47,"Rs 19,76,200 ~ 19 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5032
2014,UTTAR PRADESH,KANNAUJ,8,Rakesh Kumar Tiwari Advocate,IND,0,Graduate Professional,52,"Rs 28,56,442 ~ 28 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5024
2014,UTTAR PRADESH,KANNAUJ,9,Sanjay Shakya,IND,0,Graduate Professional,40,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5025
2014,UTTAR PRADESH,KANNAUJ,10,Subodh Kumar,Peace Party,1,12th Pass,40,"Rs 16,86,914 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5038
2014,UTTAR PRADESH,KANNAUJ,11,Subrat Pathak,BJP,0,Graduate,34,"Rs 2,30,11,868 ~ 2 Crore+","Rs 94,97,355 ~ 94 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5029
2014,UTTAR PRADESH,KANNAUJ,12,Surendra Nath,Bahujan Mukti Party,0,Graduate,46,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5027
