Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,UTTAR PRADESH,PILIBHIT,4,Maneka Sanjay Gandhi,BJP,1,12th Pass,57,"Rs 37,41,32,826 ~ 37 Crore+","Rs 2,19,202 ~ 2 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=3154
2014,UTTAR PRADESH,PILIBHIT,1,Anis Ahamad Khan,BSP,0,Graduate,51,"Rs 3,24,11,744 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3156
2014,UTTAR PRADESH,PILIBHIT,2,Arman Khan,IND,0,Graduate Professional,41,"Rs 91,775 ~ 91 Thou+","Rs 40,000 ~ 40 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3157
2014,UTTAR PRADESH,PILIBHIT,3,Budhsen Verma,SP,0,8th Pass,54,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3165
2014,UTTAR PRADESH,PILIBHIT,5,Mohd Naeem Ansari,IND,0,Graduate,30,"Rs 3,55,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3168
2014,UTTAR PRADESH,PILIBHIT,6,Munesh Singh,IND,0,8th Pass,41,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3160
2014,UTTAR PRADESH,PILIBHIT,7,Nilima Sharma,Peace Party,0,Doctorate,42,"Rs 55,95,570 ~ 55 Lacs+","Rs 20,000 ~ 20 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3164
2014,UTTAR PRADESH,PILIBHIT,8,Rajeev Agrawal,AAP,1,12th Pass,52,"Rs 5,49,59,664 ~ 5 Crore+","Rs 22,64,609 ~ 22 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3161
2014,UTTAR PRADESH,PILIBHIT,9,Ram Autar,CPI(ML)L,0,12th Pass,59,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3163
2014,UTTAR PRADESH,PILIBHIT,10,Ravindra Kumar Devnath,IND,0,Graduate,27,"Rs 24,95,450 ~ 24 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3158
2014,UTTAR PRADESH,PILIBHIT,11,Sanjay Kapoor,INC,0,Graduate Professional,51,"Rs 7,63,85,000 ~ 7 Crore+","Rs 33,30,000 ~ 33 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3159
2014,UTTAR PRADESH,PILIBHIT,12,Sanjay Kumar,Naitik Party,0,Literate,41,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3162
