Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,UTTAR PRADESH,PRATAPGARH,7,Kuwar Harivansh Singh,Apna Dal,5,Graduate,64,"Rs 38,31,37,665 ~ 38 Crore+","Rs 14,94,04,112 ~ 14 Crore+",Yes
2014,UTTAR PRADESH,PRATAPGARH,1,Ashok Shukla Senani,AAP,0,Graduate,0,"Rs 2,83,86,558 ~ 2 Crore+","Rs 33,31,955 ~ 33 Lacs+",No
2014,UTTAR PRADESH,PRATAPGARH,2,Asif Nizamuddin Siddique,BSP,0,10th Pass,43,"Rs 12,47,09,603 ~ 12 Crore+","Rs 43,77,795 ~ 43 Lacs+",No
2014,UTTAR PRADESH,PRATAPGARH,3,Azmal Khan,IND,0,Graduate Professional,50,Not Available,Not Available,No
2014,UTTAR PRADESH,PRATAPGARH,4,Bal Krishna,JD(U),0,12th Pass,42,"Rs 15,12,000 ~ 15 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,PRATAPGARH,5,Foolchandra,SHS,1,5th Pass,56,"Rs 77,07,081 ~ 77 Lacs+","Rs 60,50,000 ~ 60 Lacs+",No
2014,UTTAR PRADESH,PRATAPGARH,6,Harivansh,IND,0,10th Pass,53,Not Available,Not Available,No
2014,UTTAR PRADESH,PRATAPGARH,8,Nirmala Devi,Bhartiya Vanchitsamaj Party,0,8th Pass,48,"Rs 85,378 ~ 85 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,PRATAPGARH,9,Pramod Kumar Singh Patel,SP,3,Post Graduate,36,Not Available,Not Available,No
2014,UTTAR PRADESH,PRATAPGARH,10,Rajendra Sharma,Rashtriya Janshanti Party,0,12th Pass,54,"Rs 29,16,000 ~ 29 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,PRATAPGARH,11,Rajkumari Ratna Singh,INC,6,Graduate,54,"Rs 18,21,86,713 ~ 18 Crore+","Rs 6,00,000 ~ 6 Lacs+",No
2014,UTTAR PRADESH,PRATAPGARH,12,Ram Sewak,Bahujan Mukti Party,1,8th Pass,51,Not Available,Not Available,No
2014,UTTAR PRADESH,PRATAPGARH,13,Santosh Kumar Singh,AITC,0,12th Pass,31,"Rs 2,24,890 ~ 2 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,PRATAPGARH,14,Sheshnath,SUCI(C),0,5th Pass,62,"Rs 18,77,620 ~ 18 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,PRATAPGARH,15,Smt. Kiran Mishra,IND,0,Post Graduate,43,Not Available,Not Available,No
