Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,UTTAR PRADESH,RAE_BARELI,16,Sonia Gandhi,INC,0,Others,67,"Rs 9,28,95,288 ~ 9 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=5781
2014,UTTAR PRADESH,RAE_BARELI,1,Ajay Agrawal,BJP,0,Graduate Professional,49,"Rs 1,73,65,819 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5791
2014,UTTAR PRADESH,RAE_BARELI,2,Anju Singh,AITC,0,Post Graduate,31,"Rs 28,74,863 ~ 28 Lacs+","Rs 1,10,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5782
2014,UTTAR PRADESH,RAE_BARELI,3,Archana Srivastava,AAP,0,Post Graduate,47,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6731
2014,UTTAR PRADESH,RAE_BARELI,4,Jawahar Lal,Nehru Janhit Congress,0,10th Pass,52,"Rs 69,09,506 ~ 69 Lacs+","Rs 74,944 ~ 74 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6733
2014,UTTAR PRADESH,RAE_BARELI,5,Kailash Kumar,Hindustan Krantikari Dal,0,Graduate Professional,33,"Rs 99,14,000 ~ 99 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5789
2014,UTTAR PRADESH,RAE_BARELI,6,Kiran Chaudhary,Bahujan Mukti Party,0,12th Pass,37,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5788
2014,UTTAR PRADESH,RAE_BARELI,7,Mangal Sain,IND,0,Not Given,69,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6725
2014,UTTAR PRADESH,RAE_BARELI,8,Mohammad Asraf,VANCHITSAMAJ INSAAF PARTY,0,Post Graduate,41,"Rs 1,58,97,212 ~ 1 Crore+","Rs 6,50,000 ~ 6 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6727
2014,UTTAR PRADESH,RAE_BARELI,9,Pramod Kureel,IND,0,Post Graduate,47,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5790
2014,UTTAR PRADESH,RAE_BARELI,10,Pravesh Singh,BSP,2,Graduate,45,"Rs 1,81,66,310 ~ 1 Crore+","Rs 1,50,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5785
2014,UTTAR PRADESH,RAE_BARELI,11,Ratiram,Samtawadi Republican Party,0,Graduate Professional,68,"Rs 74,49,323 ~ 74 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6732
2014,UTTAR PRADESH,RAE_BARELI,12,Sahadat Ali Khan,IND,0,Not Given,0,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5783
2014,UTTAR PRADESH,RAE_BARELI,13,Sahar Naqvi,Lok Dal,0,Graduate,28,"Rs 1,73,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6729
2014,UTTAR PRADESH,RAE_BARELI,14,Sakil Ahmad,IND,0,8th Pass,0,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6726
2014,UTTAR PRADESH,RAE_BARELI,15,Shiv Sewak,Rashtriya Ahinsa Manch,0,10th Pass,62,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5786
2014,UTTAR PRADESH,RAE_BARELI,17,Suresh Chandra Mishra,Manavtawadi Samaj Party,0,12th Pass,61,"Rs 25,45,709 ~ 25 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5784
