Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,UTTAR PRADESH,SAHARANPUR,6,Raghav Lakhanpal,BJP,0,Post Graduate,39,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=685
2014,UTTAR PRADESH,SAHARANPUR,1,Cp Verma,IND,3,Literate,46,"Rs 47,50,000 ~ 47 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1739
2014,UTTAR PRADESH,SAHARANPUR,2,Hansraj Saini,IND,0,Graduate Professional,43,"Rs 34,11,840 ~ 34 Lacs+","Rs 42,000 ~ 42 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1748
2014,UTTAR PRADESH,SAHARANPUR,3,Imran Masood,INC,5,12th Pass,43,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=684
2014,UTTAR PRADESH,SAHARANPUR,4,Jagdish Singh Rana,BSP,0,Graduate,58,"Rs 7,21,48,732 ~ 7 Crore+","Rs 42,90,563 ~ 42 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=683
2014,UTTAR PRADESH,SAHARANPUR,5,Mohd. Firoz Aftab,IND,1,Graduate Professional,47,"Rs 63,05,818 ~ 63 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1750
2014,UTTAR PRADESH,SAHARANPUR,7,Raghuveer Singh Bodh,IND,0,8th Pass,76,"Rs 25,90,110 ~ 25 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1736
2014,UTTAR PRADESH,SAHARANPUR,8,Rajender Kumar,Adarsh Rashtriya Vikas Party,0,Graduate,57,"Rs 44,300 ~ 44 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1749
2014,UTTAR PRADESH,SAHARANPUR,9,Ratan Singh,Bahujan Mukti Party,0,Others,64,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1742
2014,UTTAR PRADESH,SAHARANPUR,10,Seshraj,IND,0,Others,64,"Rs 10,60,68,354 ~ 10 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1738
2014,UTTAR PRADESH,SAHARANPUR,11,Shahanavaj,Rashtriya Janmorcha,0,12th Pass,29,"Rs 9,19,230 ~ 9 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1737
2014,UTTAR PRADESH,SAHARANPUR,12,Shahjan Masood Urf Shahdan,SP,2,Graduate,41,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=54
2014,UTTAR PRADESH,SAHARANPUR,13,Shiv Kumar,Ambedkar Samaj Party,0,8th Pass,47,"Rs 2,20,619 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1745
2014,UTTAR PRADESH,SAHARANPUR,14,Yogesh Kumar,AAP,4,Graduate,47,"Rs 5,59,98,531 ~ 5 Crore+","Rs 1,83,016 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=224
