Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,UTTAR PRADESH,UNNAO,21,Swami Sachchidanand Hari Sakshi,BJP,8,Doctorate,58,Not Available,Not Available,Yes
2014,UTTAR PRADESH,UNNAO,1,Akhilesh Kumar,CPI(ML) Red Star,0,Literate,35,"Rs 2,36,000 ~ 2 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,UNNAO,2,Anil Kumar,IND,0,10th Pass,51,"Rs 21,00,000 ~ 21 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,UNNAO,3,Anil Kumar Chaudhary,IND,0,12th Pass,40,Not Available,Not Available,No
2014,UTTAR PRADESH,UNNAO,4,Anil Kumar Mishra,Socialist Party (India),0,10th Pass,52,"Rs 5,39,375 ~ 5 Lacs+","Rs 52,000 ~ 52 Thou+",No
2014,UTTAR PRADESH,UNNAO,5,Annu Tandon,INC,1,Graduate,56,"Rs 63,60,29,024 ~ 63 Crore+","Rs 3,00,00,000 ~ 3 Crore+",No
2014,UTTAR PRADESH,UNNAO,6,Arun Shankar Shukla,SP,2,10th Pass,56,Not Available,Not Available,No
2014,UTTAR PRADESH,UNNAO,7,Arvind Kumar,AAP,0,Graduate Professional,54,"Rs 3,84,53,489 ~ 3 Crore+","Rs 16,50,000 ~ 16 Lacs+",No
2014,UTTAR PRADESH,UNNAO,8,Brajesh Pathak,BSP,1,Graduate Professional,47,"Rs 1,49,37,219 ~ 1 Crore+",Rs 0 ~,No
2014,UTTAR PRADESH,UNNAO,9,Chetram Pasi,RPI(A),0,Literate,51,Not Available,Not Available,No
2014,UTTAR PRADESH,UNNAO,10,Girja Shankar @ Raju,Swarajya Party Of India,0,Literate,45,"Rs 1,98,200 ~ 1 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,UNNAO,11,Mohammad Amir Khan,IND,0,8th Pass,58,"Rs 1,10,500 ~ 1 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,UNNAO,12,Rajnikant,IND,0,Graduate Professional,35,Not Available,Not Available,No
2014,UTTAR PRADESH,UNNAO,13,Rakesh Kumar,Bahujan Mukti Party,0,Post Graduate,40,"Rs 28,96,938 ~ 28 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,UNNAO,14,Rameshwar,IND,0,Literate,57,"Rs 85,24,929 ~ 85 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,UNNAO,15,Roop Narayan Singh,Bhartiya Shakti Chetna Party,0,10th Pass,59,Not Available,Not Available,No
2014,UTTAR PRADESH,UNNAO,16,Shalu Dharmendra,Samtawadi Republican Party,0,10th Pass,32,"Rs 67,93,561 ~ 67 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,UNNAO,17,Shivkant,IND,0,12th Pass,33,"Rs 26,500 ~ 26 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,UNNAO,18,Shivnath,IND,0,10th Pass,48,Not Available,Not Available,No
2014,UTTAR PRADESH,UNNAO,19,Sukhdev,Manavtawadi Samaj Party,0,Graduate Professional,56,"Rs 46,25,523 ~ 46 Lacs+","Rs 1,20,000 ~ 1 Lacs+",No
2014,UTTAR PRADESH,UNNAO,20,Sumit Tewari,Nav Bharat Democratic Party,0,Graduate Professional,40,"Rs 56,07,986 ~ 56 Lacs+","Rs 2,18,321 ~ 2 Lacs+",No
