Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,UTTAR PRADESH,VARANASI,23,Narendra Modi,BJP,0,Post Graduate,63,"Rs 1,65,91,582 ~ 1 Crore+",Rs 0 ~,Yes
2014,UTTAR PRADESH,VARANASI,1,A.k. Aggarwal,Agar Jan Party,1,10th Pass,47,"Rs 1,40,58,166 ~ 1 Crore+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,2,Abhimanyu Singh Patel,Bahujan Mukti Party,0,12th Pass,38,"Rs 24,45,000 ~ 24 Lacs+","Rs 1,39,257 ~ 1 Lacs+",No
2014,UTTAR PRADESH,VARANASI,3,Ahmed Sohel Siddiqui,IND,0,12th Pass,50,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,4,Ajay Rai,INC,9,Graduate,42,"Rs 87,21,893 ~ 87 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,5,Arun,Bhartiya Shakti Chetna Party,0,12th Pass,29,"Rs 61,72,000 ~ 61 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,6,Arvind Kejriwal,AAP,7,Graduate Professional,45,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,7,Bachchan Prasad Yadav,IND,0,Graduate Professional,35,"Rs 4,16,000 ~ 4 Lacs+","Rs 53,945 ~ 53 Thou+",No
2014,UTTAR PRADESH,VARANASI,8,Bachchelal,Lokpriya Samaj Party,0,10th Pass,42,"Rs 64,10,519 ~ 64 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,9,Baseer Kinnar,IND,0,Illiterate,50,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,10,Devi Prasad Nand,Moulik Adhikar Party,0,10th Pass,77,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,11,Ghanashyam,IND,0,Post Graduate,42,"Rs 15,95,666 ~ 15 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,12,Hari Lal,Rastriya Insaaf Party,0,10th Pass,29,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,13,Hemant Kumar Yadav,Indian National League,0,Post Graduate,34,"Rs 38,599 ~ 38 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,14,Hira Lal Yadav,CPI(M),0,Doctorate,57,"Rs 7,45,430 ~ 7 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,15,Iftekhar Kuraishi,IND,0,Literate,42,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,16,Indira Tiwari,AITC,0,Post Graduate,56,"Rs 6,29,817 ~ 6 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,17,Johnson Thomas,IND,0,Graduate Professional,48,"Rs 1,67,84,800 ~ 1 Crore+","Rs 9,50,000 ~ 9 Lacs+",No
2014,UTTAR PRADESH,VARANASI,18,Kailash Chaurasiya,SP,8,8th Pass,55,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,19,Lallan,Manavadhikar Janshakti Party,0,5th Pass,56,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,20,Mahendra Mishra,IND,0,12th Pass,57,"Rs 37,88,275 ~ 37 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,21,Manoj Kumar Chaube,IND,1,Post Graduate,35,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,22,Narendra Bahadur Singh,IND,0,Post Graduate,55,"Rs 27,72,000 ~ 27 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,24,Narendra Nath Dubey Adig,Jan Shakti Ekta Party,0,Graduate Professional,47,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,25,Om Guru Charan Das Alias Vimal Kumar Singh,Sanatan Sanskriti Raksha Dal,0,10th Pass,39,"Rs 48,82,000 ~ 48 Lacs+","Rs 4,70,000 ~ 4 Lacs+",No
2014,UTTAR PRADESH,VARANASI,26,Prabhat Kumar,IND,0,Post Graduate,47,"Rs 3,35,36,805 ~ 3 Crore+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,27,Prakash Prasad,IND,0,12th Pass,42,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,28,Pramod Kumar,IND,0,Graduate,60,"Rs 20,57,000 ~ 20 Lacs+","Rs 50,000 ~ 50 Thou+",No
2014,UTTAR PRADESH,VARANASI,29,Rajendra Prasad (garib Das),IND,0,Graduate,54,"Rs 47,000 ~ 47 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,30,Rajesh Bharti Surya,Rashtriya Ambedkar Dal,0,Graduate Professional,38,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,31,Rajiv Kumar Mishra,IND,0,10th Pass,45,"Rs 48,900 ~ 48 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,32,Ram Lakhan Gupta,Jantantra Party,0,Graduate Professional,60,"Rs 1,20,74,892 ~ 1 Crore+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,33,Ram Pyare Singh,IND,0,Others,50,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,34,Ravindra Kumar,IND,0,Graduate,41,"Rs 97,48,141 ~ 97 Lacs+","Rs 27,00,000 ~ 27 Lacs+",No
2014,UTTAR PRADESH,VARANASI,35,Santosh Kumar,Rashtriya Vikas Manch Party,0,8th Pass,28,"Rs 2,11,200 ~ 2 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,VARANASI,36,Sarvesh Kumar Gupta,IND,0,12th Pass,54,Not Available,Not Available,No
2014,UTTAR PRADESH,VARANASI,37,Satish Shankar Jayaswal,IND,0,12th Pass,32,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No
