Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,4,Bhagat Singh Koshyari,BJP,0,Post Graduate,72,"Rs 55,62,704 ~ 55 Lacs+",Rs 0 ~,Yes
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,1,Asha Ram Kasyap,Rashtriya Mahan Gantantra Party,0,10th Pass,74,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,2,Avtar Singh,SP,0,Graduate,55,"Rs 4,61,67,000 ~ 4 Crore+","Rs 1,15,00,000 ~ 1 Crore+",No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,3,Balli Singh Cheema,AAP,0,Graduate,61,Not Available,Not Available,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,5,Bhagwan Swaroop,IND,0,Graduate,67,"Rs 3,52,800 ~ 3 Lacs+",Rs 0 ~,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,6,Bhuwan Chandra Joshi,IND,0,Graduate Professional,46,Not Available,Not Available,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,7,D.s.rawal,Bharat Ki Lok Jimmedar Party,0,Graduate Professional,67,"Rs 83,50,311 ~ 83 Lacs+",Rs 0 ~,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,8,K.c.singh Baba,INC,0,12th Pass,65,"Rs 6,38,29,355 ~ 6 Crore+","Rs 5,98,585 ~ 5 Lacs+",No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,9,Kailash Chandra,IND,3,12th Pass,34,Not Available,Not Available,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,10,Kailash Pandey,CPI(ML)L,0,Doctorate,42,"Rs 5,05,308 ~ 5 Lacs+",Rs 0 ~,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,11,Khasti Suyal,Bhartiya Chaitanya Party,0,12th Pass,37,"Rs 10,00,500 ~ 10 Lacs+",Rs 0 ~,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,12,Laik Ahmed,BSP,0,Graduate Professional,57,Not Available,Not Available,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,13,Ram Singh,Peace Party,0,Literate,44,"Rs 12,51,000 ~ 12 Lacs+",Rs 0 ~,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,14,Shakil Ahmed,IND,0,Illiterate,44,"Rs 6,68,067 ~ 6 Lacs+",Rs 0 ~,No
2014,UTTARAKHAND,NAINITAL_UDHAMSINGH_NAGAR,15,Sheeshpal Singh Arya,Ambedkar National Congress,0,12th Pass,54,Not Available,Not Available,No
