Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,WEST BENGAL,BALURGHAT,2,Arpita Ghosh,AITC,0,Graduate,47,"Rs 5,44,790 ~ 5 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=4828
2014,WEST BENGAL,BALURGHAT,1,Abdus Sadek Sarkar,AIUDF,2,Graduate Professional,36,"Rs 1,09,07,085 ~ 1 Crore+","Rs 30,64,329 ~ 30 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4355
2014,WEST BENGAL,BALURGHAT,3,Bimalendu Sarkar,RSP,0,Post Graduate,65,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4352
2014,WEST BENGAL,BALURGHAT,4,Biswapriya Roy Choudhury,BJP,5,Graduate Professional,53,"Rs 44,40,487 ~ 44 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4350
2014,WEST BENGAL,BALURGHAT,5,Manas Chakraborty,CPI(ML) Red Star,0,10th Pass,51,"Rs 30,500 ~ 30 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4830
2014,WEST BENGAL,BALURGHAT,6,Nural Islam,SUCI(C),0,Graduate,53,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4354
2014,WEST BENGAL,BALURGHAT,7,Om Prakash Mishra,INC,0,Post Graduate,53,"Rs 1,26,70,505 ~ 1 Crore+","Rs 15,94,992 ~ 15 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4351
2014,WEST BENGAL,BALURGHAT,8,Rajen Hansda,BSP,0,Post Graduate,31,"Rs 5,12,524 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3296
2014,WEST BENGAL,BALURGHAT,9,Ranendra Nath Mali,Bahujan Mukti Party,0,12th Pass,60,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3820
2014,WEST BENGAL,BALURGHAT,10,Sasti Chandra Sarkar,Rashtriya Janadhikar Suraksha Party,0,10th Pass,46,"Rs 4,88,095 ~ 4 Lacs+","Rs 2,03,335 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4829
2014,WEST BENGAL,BALURGHAT,11,Sibendra Nath Sarkar,IND,1,8th Pass,49,"Rs 4,19,006 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4353
2014,WEST BENGAL,BALURGHAT,12,Som Hemram,Jharkhand Disom Party,0,Graduate,36,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4827
