Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,WEST BENGAL,BANKURA,12,Sreemati Dev Varma (moon Moon Sen),AITC,0,Post Graduate,60,Not Available,Not Available,Yes
2014,WEST BENGAL,BANKURA,1,Basudeb Acharia,CPI(M),0,Post Graduate,72,"Rs 59,12,120 ~ 59 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,BANKURA,2,Binoy Chowdhury,BSP,0,8th Pass,49,"Rs 27,537 ~ 27 Thou+",Rs 0 ~,No
2014,WEST BENGAL,BANKURA,3,Gour Chandra Hembram,IND,0,Post Graduate,42,Not Available,Not Available,No
2014,WEST BENGAL,BANKURA,4,Hulu Khetrapal,Bahujan Mukti Party,0,10th Pass,65,"Rs 5,07,000 ~ 5 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,BANKURA,5,Kabita Singha Babu,SUCI(C),0,Graduate,49,"Rs 5,01,200 ~ 5 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,BANKURA,6,Nilmadhab Gupta,INC,2,Others,59,Not Available,Not Available,No
2014,WEST BENGAL,BANKURA,7,Panmani Besra,Jharkhand Disom Party,0,10th Pass,44,"Rs 29,900 ~ 29 Thou+",Rs 0 ~,No
2014,WEST BENGAL,BANKURA,8,Paresh Marandi,JMM,1,8th Pass,58,"Rs 10,00,500 ~ 10 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,BANKURA,9,Prabir Banerjee,Jharkhand Anushilan Party,0,Graduate,41,Not Available,Not Available,No
2014,WEST BENGAL,BANKURA,10,Shib Sankar Ghosh,JVM(P),0,8th Pass,59,"Rs 2,19,203 ~ 2 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,BANKURA,11,Shyamal Sikdar,IND,0,12th Pass,45,"Rs 6,100 ~ 6 Thou+",Rs 0 ~,No
2014,WEST BENGAL,BANKURA,13,Subhas Kumar Sarkar,BJP,0,Graduate Professional,60,"Rs 1,40,63,337 ~ 1 Crore+","Rs 47,53,108 ~ 47 Lacs+",No
2014,WEST BENGAL,BANKURA,14,Sudhir Kumar Murmu,CPI(ML)L,0,10th Pass,45,"Rs 3,46,000 ~ 3 Lacs+",Rs 0 ~,No
