Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,WEST BENGAL,BARASAT,2,Dr. Kakali Ghoshdostidar,AITC,0,Graduate Professional,55,"Rs 3,12,54,311 ~ 3 Crore+","Rs 11,68,220 ~ 11 Lacs+",Yes
2014,WEST BENGAL,BARASAT,1,Bikash Hazra,Bahujan Mukti Party,0,8th Pass,50,"Rs 27,37,500 ~ 27 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,BARASAT,3,Dr. Mortoza Hossain,AIFB,0,Graduate Professional,69,Not Available,Not Available,No
2014,WEST BENGAL,BARASAT,4,Kalyan Basak,IND,1,12th Pass,37,"Rs 40,26,359 ~ 40 Lacs+","Rs 3,90,000 ~ 3 Lacs+",No
2014,WEST BENGAL,BARASAT,5,Md. Rafikul Islam,Welfare Party of India,0,Post Graduate,38,"Rs 2,78,000 ~ 2 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,BARASAT,6,Morttaja Hosen,IND,0,Graduate,32,Not Available,Not Available,No
2014,WEST BENGAL,BARASAT,7,P.c. Sorkar Junior,BJP,1,Doctorate,66,"Rs 5,44,16,813 ~ 5 Crore+","Rs 15,36,534 ~ 15 Lacs+",No
2014,WEST BENGAL,BARASAT,8,Paresh Chandra Ghosh,SUCI(C),0,Post Graduate,58,"Rs 7,32,200 ~ 7 Lacs+","Rs 10,00,000 ~ 10 Lacs+",No
2014,WEST BENGAL,BARASAT,9,Riju Ghosal,INC,0,Post Graduate,39,Not Available,Not Available,No
2014,WEST BENGAL,BARASAT,10,Shri Kaushik Das Gupta,IND,0,Graduate,47,"Rs 74,000 ~ 74 Thou+",Rs 0 ~,No
2014,WEST BENGAL,BARASAT,11,Sukla Bhuimali,CPI(ML) Red Star,0,Post Graduate,32,"Rs 1,300 ~ 1 Thou+",Rs 0 ~,No
2014,WEST BENGAL,BARASAT,12,Sukumar Bala,BSP,0,Post Graduate,39,Not Available,Not Available,No
