Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,WEST BENGAL,JADAVPUR,11,Sugata Bose,AITC,0,Doctorate,57,"Rs 4,63,15,770 ~ 4 Crore+",Rs 0 ~,Yes
2014,WEST BENGAL,JADAVPUR,1,Ashok Kumar Shaw,IND,0,12th Pass,38,"Rs 1,02,611 ~ 1 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,JADAVPUR,2,Asok Kumar Samanta,SUCI(C),0,Post Graduate,60,"Rs 25,70,063 ~ 25 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,JADAVPUR,3,Dr. Sarup Prasad Ghosh,BJP,0,Doctorate,44,Not Available,Not Available,No
2014,WEST BENGAL,JADAVPUR,4,Hasibul Islam Mir,Rashtriya Janasachetan Party (R.J.P.),0,10th Pass,39,"Rs 3,33,000 ~ 3 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,JADAVPUR,5,Kartik Kayal,IND,0,Graduate,37,"Rs 3,25,000 ~ 3 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,JADAVPUR,6,Mangal Kumar Sardar,IND,0,Graduate,25,Not Available,Not Available,No
2014,WEST BENGAL,JADAVPUR,7,Pintu Sanpui,Bahujan Mukti Party,0,Graduate,39,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,No
2014,WEST BENGAL,JADAVPUR,8,Samir Aich,INC,0,Others,58,"Rs 89,63,371 ~ 89 Lacs+","Rs 5,78,925 ~ 5 Lacs+",No
2014,WEST BENGAL,JADAVPUR,9,Sandhya Mandal,BSP,0,Graduate,62,Not Available,Not Available,No
2014,WEST BENGAL,JADAVPUR,10,Shamali Das,IND,0,8th Pass,56,"Rs 20,00,00,60,000 ~ 2000 Crore+",Rs 0 ~,No
2014,WEST BENGAL,JADAVPUR,12,Sujan Chakraborty,CPI(M),1,Doctorate,55,Not Available,Not Available,No
2014,WEST BENGAL,JADAVPUR,13,Susanta Kumar Naskar,IND,0,10th Pass,59,"Rs 23,59,383 ~ 23 Lacs+",Rs 0 ~,No
