Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,WEST BENGAL,KOLKATA_UTTAR,16,Sudip Bandyopadhyay,AITC,1,Graduate,62,"Rs 2,20,86,278 ~ 2 Crore+","Rs 4,50,000 ~ 4 Lacs+",Yes
2014,WEST BENGAL,KOLKATA_UTTAR,1,Alok Chaturvedi,AAP,0,Graduate Professional,47,"Rs 4,24,89,478 ~ 4 Crore+","Rs 77,453 ~ 77 Thou+",No
2014,WEST BENGAL,KOLKATA_UTTAR,2,Debajyoti Sengupta,IND,0,Graduate,55,"Rs 33,43,932 ~ 33 Lacs+","Rs 1,35,000 ~ 1 Lacs+",No
2014,WEST BENGAL,KOLKATA_UTTAR,3,Dr. Devendra Pandey,IND,2,Others,49,Not Available,Not Available,No
2014,WEST BENGAL,KOLKATA_UTTAR,4,Kali Pada Jana,IND,0,8th Pass,63,"Rs 16,38,219 ~ 16 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,KOLKATA_UTTAR,5,Kaushik Biswas,IND,0,Graduate,39,"Rs 48,37,188 ~ 48 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No
2014,WEST BENGAL,KOLKATA_UTTAR,6,Md Ibrahim Khan,IUML,0,12th Pass,59,Not Available,Not Available,No
2014,WEST BENGAL,KOLKATA_UTTAR,7,Mitul Kumar Singh,Rashtriya Ahinsa Manch,0,12th Pass,27,"Rs 32,157 ~ 32 Thou+",Rs 0 ~,No
2014,WEST BENGAL,KOLKATA_UTTAR,8,Phul Chand Ram,BSP,0,12th Pass,33,"Rs 22,500 ~ 22 Thou+",Rs 0 ~,No
2014,WEST BENGAL,KOLKATA_UTTAR,9,Rahul (biswajit) Sinha,BJP,5,Graduate,50,Not Available,Not Available,No
2014,WEST BENGAL,KOLKATA_UTTAR,10,Rathindra Nath Roy,IND,0,10th Pass,47,"Rs 78,440 ~ 78 Thou+",Rs 0 ~,No
2014,WEST BENGAL,KOLKATA_UTTAR,11,Rupa Bagchi,CPI(M),0,Post Graduate,48,"Rs 11,79,899 ~ 11 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,KOLKATA_UTTAR,12,S.m. Habibullah,Gareeb Aadmi Party,0,10th Pass,57,Not Available,Not Available,No
2014,WEST BENGAL,KOLKATA_UTTAR,13,Sanjoy Saha,IND,0,12th Pass,37,"Rs 22,00,000 ~ 22 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,KOLKATA_UTTAR,14,Saumen Mitra,IND,0,Graduate,65,"Rs 61,70,000 ~ 61 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,KOLKATA_UTTAR,15,Somendra Nath Mitra,INC,0,Graduate Professional,73,Not Available,Not Available,No
2014,WEST BENGAL,KOLKATA_UTTAR,17,Sunirmal Basu,IND,0,10th Pass,49,"Rs 9,46,500 ~ 9 Lacs+",Rs 0 ~,No
2014,WEST BENGAL,KOLKATA_UTTAR,18,Tarun Mukherjee,Rashtriya Janasachetan Party (R.J.P.),0,Post Graduate,37,Not Available,Not Available,No
