Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,ANDHRA PRADESH,AMALAPURAM,1,Chinta Anuradha,YSRCP,0,Graduate,46,"Rs 8,63,93,362 ~ 8 Crore+","Rs 24,31,407 ~ 24 Lacs+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5028
2019,ANDHRA PRADESH,AMALAPURAM,2,Ganti Harish Madhur,TDP,0,Graduate Professional,30,"Rs 7,30,49,918 ~ 7 Crore+","Rs 15,37,488 ~ 15 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5026
2019,ANDHRA PRADESH,AMALAPURAM,3,Janga Goutham,INC,0,Graduate,49,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5029
2019,ANDHRA PRADESH,AMALAPURAM,4,Manepalli Ayyaji Vema,BJP,0,Graduate Professional,59,"Rs 67,85,061 ~ 67 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5772
2019,ANDHRA PRADESH,AMALAPURAM,5,Mojas Raja Sekhar Duggirala,Janasena Party,1,Post Graduate,59,"Rs 2,89,30,012 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5027
2019,ANDHRA PRADESH,AMALAPURAM,6,Mortha Sivarama Krishna,Pyramid Party of India,0,Graduate,29,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5769
2019,ANDHRA PRADESH,AMALAPURAM,7,Muralikrishna Kanderi,India Praja Bandhu Party,0,Others,41,"Rs 12,796 ~ 12 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5770
2019,ANDHRA PRADESH,AMALAPURAM,8,Panthagada Vijaya Chakravarthy,RPI(Khobragade),0,Post Graduate,65,"Rs 5,50,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6223
2019,ANDHRA PRADESH,AMALAPURAM,9,Rajani Chelle,Jana Jagruti Party,0,Graduate,30,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5771
2019,ANDHRA PRADESH,AMALAPURAM,10,Revu Sudhakar,IND,0,10th Pass,34,"Rs 11,000 ~ 11 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6222
