Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,ANDHRA PRADESH,VIJAYAWADA,14,Srinivas Kesineni,TDP,0,10th Pass,53,"Rs 80,81,52,415 ~ 80 Crore+","Rs 51,23,32,955 ~ 51 Crore+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4798
2019,ANDHRA PRADESH,VIJAYAWADA,1,Andukuri Vijaya Bhaskar,India Praja Bandhu Party,0,Graduate Professional,49,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6262
2019,ANDHRA PRADESH,VIJAYAWADA,2,Bolisetty Hari Babu,IND,1,Illiterate,60,"Rs 4,56,08,000 ~ 4 Crore+","Rs 1,09,44,696 ~ 1 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6255
2019,ANDHRA PRADESH,VIJAYAWADA,3,Dileep Kilaru,BJP,0,Graduate Professional,48,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4799
2019,ANDHRA PRADESH,VIJAYAWADA,4,Gandhi Dhanekula,IND,0,10th Pass,71,"Rs 1,05,90,000 ~ 1 Crore+","Rs 8,00,000 ~ 8 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5036
2019,ANDHRA PRADESH,VIJAYAWADA,5,Lurthu Meri Daila,Mundadugu Praja Party,0,12th Pass,43,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6261
2019,ANDHRA PRADESH,VIJAYAWADA,6,Madabathula Chandra Sekhar,Pyramid Party of India,0,10th Pass,31,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6254
2019,ANDHRA PRADESH,VIJAYAWADA,7,Mohammad Ishaq,IND,0,12th Pass,47,"Rs 52,76,961 ~ 52 Lacs+","Rs 5,12,010 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6263
2019,ANDHRA PRADESH,VIJAYAWADA,8,Muttamasetty Lakshmana Siva Prasad Babu,Janasena Party,0,Post Graduate,66,"Rs 3,31,69,811 ~ 3 Crore+","Rs 1,37,447 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6260
2019,ANDHRA PRADESH,VIJAYAWADA,9,Nandini Nallaghatla,IND,0,Post Graduate,43,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6258
2019,ANDHRA PRADESH,VIJAYAWADA,10,Naraharisetty Narasimha Rao,INC,1,Graduate Professional,58,"Rs 1,93,42,702 ~ 1 Crore+","Rs 67,88,257 ~ 67 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6257
2019,ANDHRA PRADESH,VIJAYAWADA,11,Prasad Veera Potluri,YSRCP,1,Post Graduate,48,"Rs 3,47,76,16,326 ~ 347 Crore+","Rs 20,95,77,562 ~ 20 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4797
2019,ANDHRA PRADESH,VIJAYAWADA,12,Riyaz Dada Miya Shaik,IUML,0,10th Pass,32,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6259
2019,ANDHRA PRADESH,VIJAYAWADA,13,Siva Prasad Padala ,Navarang Congress Party,0,10th Pass,62,"Rs 16,50,000 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4685
