Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,BIHAR,NALANDA,8,Kaushlendra Kumar,JD(U),0,12th Pass,60,"Rs 2,92,51,651 ~ 2 Crore+","Rs 27,12,389 ~ 27 Lacs+",Yes
2019,BIHAR,NALANDA,1,Anil Kumar,Bharatiya Jan Kranti Dal (Democratic),0,Graduate,58,"Rs 2,87,302 ~ 2 Lacs+",Rs 0 ~,No
2019,BIHAR,NALANDA,2,Ashok Kumar,IND,1,Graduate,42,"Rs 29,52,708 ~ 29 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
2019,BIHAR,NALANDA,3,Ashok Kumar Azad,Hindustani Awam Morcha (Secular),0,12th Pass,46,Not Available,Not Available,No
2019,BIHAR,NALANDA,4,Brahamdev Prasad,Shoshit Samaj Dal,0,Post Graduate,60,"Rs 32,73,000 ~ 32 Lacs+",Rs 0 ~,No
2019,BIHAR,NALANDA,5,Chiranjib Kumar,SHS,0,12th Pass,39,"Rs 2,76,47,098 ~ 2 Crore+","Rs 76,00,000 ~ 76 Lacs+",No
2019,BIHAR,NALANDA,6,Dilip Rawat,Maanavvaadi Janta Party,0,10th Pass,38,Not Available,Not Available,No
2019,BIHAR,NALANDA,7,Dinanath Pandey,IND,0,Illiterate,72,"Rs 4,00,000 ~ 4 Lacs+",Rs 0 ~,No
2019,BIHAR,NALANDA,9,Kumar Hari Charan Singh Yadav,Bharatiya Momin Front,0,8th Pass,49,Not Available,Not Available,No
2019,BIHAR,NALANDA,10,Mintu Kumar ,IND,0,10th Pass,31,"Rs 15,10,000 ~ 15 Lacs+",Rs 0 ~,No
2019,BIHAR,NALANDA,11,Mohammad Surkhab Alam,IND,0,10th Pass,37,"Rs 78,20,000 ~ 78 Lacs+",Rs 0 ~,No
2019,BIHAR,NALANDA,12,Mohan Bind,IND,3,5th Pass,41,Not Available,Not Available,No
2019,BIHAR,NALANDA,13,Nita Devi,IND,0,12th Pass,36,"Rs 7,64,54,511 ~ 7 Crore+","Rs 4,88,000 ~ 4 Lacs+",No
2019,BIHAR,NALANDA,14,Pawan Kumar Pandey,Bhartiya Lokmat Rashtrwadi Party,0,12th Pass,35,"Rs 30,40,470 ~ 30 Lacs+","Rs 90,000 ~ 90 Thou+",No
2019,BIHAR,NALANDA,15,Punit Kumar,IND,2,12th Pass,30,Not Available,Not Available,No
2019,BIHAR,NALANDA,16,Purushotam Sharma,National Jagaran Party,0,10th Pass,47,"Rs 2,12,48,052 ~ 2 Crore+",Rs 0 ~,No
2019,BIHAR,NALANDA,17,Rajeev Ranjan Kumar,Jan Adhikar Party,0,Graduate,25,"Rs 81,17,833 ~ 81 Lacs+",Rs 0 ~,No
2019,BIHAR,NALANDA,18,Rajnish Kumar Paswan,IND,0,10th Pass,40,Not Available,Not Available,No
2019,BIHAR,NALANDA,19,Rakesh Paswan,IND,0,Graduate,33,"Rs 5,92,000 ~ 5 Lacs+",Rs 0 ~,No
2019,BIHAR,NALANDA,20,Ram Charitra Prasad Singh,Hindusthan Nirman Dal,1,12th Pass,72,"Rs 89,75,000 ~ 89 Lacs+","Rs 19,84,000 ~ 19 Lacs+",No
2019,BIHAR,NALANDA,21,Ramchandra Prasad,Samagra Utthan Party,6,Graduate,76,Not Available,Not Available,No
2019,BIHAR,NALANDA,22,Ramchandra Singh,IND,0,Graduate Professional,45,"Rs 88,70,231 ~ 88 Lacs+","Rs 1,33,463 ~ 1 Lacs+",No
2019,BIHAR,NALANDA,23,Ramvilaf Paswan,Rashtriya Hind Sena,0,5th Pass,61,"Rs 45,14,580 ~ 45 Lacs+","Rs 1,925 ~ 1 Thou+",No
2019,BIHAR,NALANDA,24,Rekha Kumari,Purvanchal Mahapanchayat,0,12th Pass,34,Not Available,Not Available,No
2019,BIHAR,NALANDA,25,Sampati Kumar,Suheldev Bhartiya Samaj Party,0,12th Pass,36,"Rs 2,17,50,000 ~ 2 Crore+","Rs 10,00,000 ~ 10 Lacs+",No
2019,BIHAR,NALANDA,26,Sanjeet Kumar,Jantantrik Vikas Party,0,Post Graduate,38,"Rs 2,20,30,093 ~ 2 Crore+","Rs 7,88,813 ~ 7 Lacs+",No
2019,BIHAR,NALANDA,27,Shailendra Chaudhari,IND,0,12th Pass,41,Not Available,Not Available,No
2019,BIHAR,NALANDA,28,Shankar Pandey,Bahujan Nyay Dal,0,10th Pass,37,"Rs 29,85,000 ~ 29 Lacs+",Rs 0 ~,No
2019,BIHAR,NALANDA,29,Shashi Kumar ,NCP,1,Post Graduate,50,"Rs 36,15,616 ~ 36 Lacs+","Rs 1,60,000 ~ 1 Lacs+",No
2019,BIHAR,NALANDA,30,Shashi Kumar,BSP,0,10th Pass,33,Not Available,Not Available,No
2019,BIHAR,NALANDA,31,Sohavan Paswan,Public Mission Party,0,10th Pass,43,"Rs 17,76,043 ~ 17 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
2019,BIHAR,NALANDA,32,Sudhir Kumar,IND,0,10th Pass,37,"Rs 21,000 ~ 21 Thou+",Rs 0 ~,No
2019,BIHAR,NALANDA,33,Sunil Ravidas,RPI,0,Graduate,30,Not Available,Not Available,No
2019,BIHAR,NALANDA,34,Surendra Singh,Bharat Prabhat Party,0,10th Pass,62,"Rs 4,50,000 ~ 4 Lacs+",Rs 0 ~,No
2019,BIHAR,NALANDA,35,Usha Devi,IND,0,10th Pass,63,"Rs 8,75,000 ~ 8 Lacs+",Rs 0 ~,No
