Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,GUJARAT,AHMEDABAD_WEST,4,Dr. Solanki Kiritbhai,BJP,0,Post Graduate,69,"Rs 8,94,74,039 ~ 8 Crore+",Rs 0 ~,Yes
2019,GUJARAT,AHMEDABAD_WEST,1,Bhitora Bhavesh Chimanbhai,IND,0,12th Pass,34,"Rs 66,000 ~ 66 Thou+","Rs 21,000 ~ 21 Thou+",No
2019,GUJARAT,AHMEDABAD_WEST,2,Chauhan Harishbhai Jethabhai,Rashtriya Power Party,0,Graduate Professional,40,"Rs 32,93,451 ~ 32 Lacs+",Rs 0 ~,No
2019,GUJARAT,AHMEDABAD_WEST,3,Dipika Jitendrakumar Sutaria,Manvadhikar National Party,0,12th Pass,49,Not Available,Not Available,No
2019,GUJARAT,AHMEDABAD_WEST,5,Harshadkumar Laxmanbhai Solanki,Right to Recall Party,0,10th Pass,28,"Rs 1,49,586 ~ 1 Lacs+",Rs 0 ~,No
2019,GUJARAT,AHMEDABAD_WEST,6,Jadav Ulpesh Jyantilal,Peoples Party of India (Democratic),0,Post Graduate,37,Not Available,Not Available,No
2019,GUJARAT,AHMEDABAD_WEST,7,Mahedia Mahendrabhai Parsottamdas,IND,1,Graduate,62,"Rs 1,41,82,000 ~ 1 Crore+","Rs 4,00,000 ~ 4 Lacs+",No
2019,GUJARAT,AHMEDABAD_WEST,8,Malhotra Pankajkumar Dayabhai (Doctor Saheb),IND,0,Graduate Professional,45,"Rs 4,000 ~ 4 Thou+",Rs 0 ~,No
2019,GUJARAT,AHMEDABAD_WEST,9,Raju Parmar,INC,0,Graduate,68,Not Available,Not Available,No
2019,GUJARAT,AHMEDABAD_WEST,10,Solanki Chiragbhai Somabhai,Jan Satya Path Party,0,Graduate Professional,59,"Rs 4,47,440 ~ 4 Lacs+",Rs 0 ~,No
2019,GUJARAT,AHMEDABAD_WEST,11,Tribhovandas Karsandas Vaghela,BSP,0,8th Pass,66,"Rs 53,54,000 ~ 53 Lacs+",Rs 0 ~,No
2019,GUJARAT,AHMEDABAD_WEST,12,Vaghela Ashwinbhai Amrutbhai,Bhartiya Tribal Party,0,8th Pass,37,Not Available,Not Available,No
2019,GUJARAT,AHMEDABAD_WEST,13,Vedubhai Sirasat Kautikbhai,Ambedkarite Party of India,0,8th Pass,47,"Rs 3,300 ~ 3 Thou+",Rs 0 ~,No
