Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,GUJARAT,PATAN,5,Dabhi Bharatsinhji Shankarji,BJP,0,Graduate,64,"Rs 4,73,73,221 ~ 4 Crore+","Rs 56,13,860 ~ 56 Lacs+",Yes
2019,GUJARAT,PATAN,1,Abdulkudus Abdulmajid Molapiya,IND,0,Literate,44,"Rs 7,56,000 ~ 7 Lacs+",Rs 0 ~,No
2019,GUJARAT,PATAN,2,Bhoraniya Soyabbhai Hasambhai,IND,1,8th Pass,52,"Rs 29,92,000 ~ 29 Lacs+",Rs 0 ~,No
2019,GUJARAT,PATAN,3,Chaudhari Kirtibhai Jesangbhai,NCP,0,Post Graduate,38,Not Available,Not Available,No
2019,GUJARAT,PATAN,4,Chaudhari Shaileshkumar Kanjibhai,IND,0,12th Pass,36,"Rs 19,60,000 ~ 19 Lacs+",Rs 0 ~,No
2019,GUJARAT,PATAN,6,Makwana Vaghabhai Maganbhai,IND,0,10th Pass,47,Not Available,Not Available,No
2019,GUJARAT,PATAN,7,Pandya Pravinkumar Tulsidas,IND,0,10th Pass,42,"Rs 39,40,000 ~ 39 Lacs+",Rs 0 ~,No
2019,GUJARAT,PATAN,8,Parmar Surajkumar Mahendrakumar,BSP,0,Graduate,34,"Rs 9,06,000 ~ 9 Lacs+",Rs 0 ~,No
2019,GUJARAT,PATAN,9,Prajapati Jayantibhai Devabhai,Hindusthan Nirman Dal,0,5th Pass,49,Not Available,Not Available,No
2019,GUJARAT,PATAN,10,Rathod Govindbhai Bhikhabhai,IND,0,8th Pass,35,"Rs 1,90,543 ~ 1 Lacs+",Rs 0 ~,No
2019,GUJARAT,PATAN,11,Thakor Jagdishbhai,INC,0,10th Pass,62,"Rs 2,21,36,618 ~ 2 Crore+",Rs 0 ~,No
2019,GUJARAT,PATAN,12,Umedbhai Haribhai Nai,IND,0,8th Pass,48,Not Available,Not Available,No
