Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,HARYANA,FARIDABAD,11,Krishan Pal,BJP,0,Graduate Professional,62,"Rs 36,96,52,786 ~ 36 Crore+","Rs 10,55,93,242 ~ 10 Crore+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12150
2019,HARYANA,FARIDABAD,1,Amit Singh Patel,IND,0,Graduate,33,"Rs 8,56,564 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13294
2019,HARYANA,FARIDABAD,2,Avtar Singh Bhadana,INC,1,8th Pass,62,"Rs 12,08,03,457 ~ 12 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13299
2019,HARYANA,FARIDABAD,3,Balwant Kataria,IND,7,12th Pass,34,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13295
2019,HARYANA,FARIDABAD,4,Baudhycharya Khajan Isngh Gautam,RPI,0,10th Pass,46,"Rs 3,92,157 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13303
2019,HARYANA,FARIDABAD,5,C A Shukla,IND,0,Graduate,57,"Rs 13,45,000 ~ 13 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13296
2019,HARYANA,FARIDABAD,6,Daya Chand,Bhartiya Shakti Chetna Party,0,12th Pass,68,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13292
2019,HARYANA,FARIDABAD,7,Deepak Gaur,AARAKSHAN VIRODHI PARTY,1,12th Pass,40,"Rs 1,47,65,000 ~ 1 Crore+","Rs 8,50,000 ~ 8 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12145
2019,HARYANA,FARIDABAD,8,Hari Chand,Peoples Party of India (Democratic),0,Graduate,62,"Rs 45,79,000 ~ 45 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13301
2019,HARYANA,FARIDABAD,9,Hari Shankar Rajvans,Adim Bhartiya Dal,0,Graduate Professional,42,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12147
2019,HARYANA,FARIDABAD,10,K P Singh,IND,0,Graduate Professional,60,"Rs 1,91,95,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13297
2019,HARYANA,FARIDABAD,12,Lekha Ram Dabang,Bahujan Mukti Party,0,10th Pass,50,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13291
2019,HARYANA,FARIDABAD,13,Mahender Singh Chauhan,INLD,0,10th Pass,66,"Rs 6,96,62,663 ~ 6 Crore+","Rs 15,51,000 ~ 15 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13300
2019,HARYANA,FARIDABAD,14,Mahesh Pratap Sharma,Rashtriya Vikas Party,0,Others,63,"Rs 2,89,86,240 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12154
2019,HARYANA,FARIDABAD,15,Mandhir Maan,BSP,0,10th Pass,43,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12152
2019,HARYANA,FARIDABAD,16,Manoj ,IND,0,Post Graduate,48,"Rs 2,65,36,601 ~ 2 Crore+","Rs 14,47,929 ~ 14 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12151
2019,HARYANA,FARIDABAD,17,Mukesh Kumar Singh,Lokpriya Samaj Party,0,12th Pass,43,"Rs 26,40,084 ~ 26 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12149
2019,HARYANA,FARIDABAD,18,Navin Jaihind,AAP,4,Doctorate,37,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13289
2019,HARYANA,FARIDABAD,19,Pradeep Kumar,Tola Party,0,Post Graduate,28,"Rs 78,00,000 ~ 78 Lacs+","Rs 56,00,000 ~ 56 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13304
2019,HARYANA,FARIDABAD,20,Rakesh Kumar,Aapki Apni Party (Peoples),0,10th Pass,36,"Rs 1,64,500 ~ 1 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13290
2019,HARYANA,FARIDABAD,21,Ram Kishan Gola,AIFB,0,Others,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12148
