Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,HARYANA,SIRSA,16,Sunita Duggal,BJP,0,Post Graduate,51,"Rs 4,25,96,349 ~ 4 Crore+","Rs 25,00,000 ~ 25 Lacs+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12190
2019,HARYANA,SIRSA,1,Angrej Singh Alahi,Rashtriya Lokswaraj Party,0,5th Pass,41,"Rs 14,60,000 ~ 14 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13261
2019,HARYANA,SIRSA,2,Ankur Gill,SHS,0,10th Pass,27,"Rs 11,90,000 ~ 11 Lacs+","Rs 10,00,000 ~ 10 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13260
2019,HARYANA,SIRSA,3,Ashok Tanwar,INC,1,Doctorate,43,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12191
2019,HARYANA,SIRSA,4,Brij Pal Balmiki,Bahujan Mukti Party,0,Graduate,47,"Rs 56,10,000 ~ 56 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13262
2019,HARYANA,SIRSA,5,Charanjeet Singh Rori,INLD,0,10th Pass,49,"Rs 1,06,01,527 ~ 1 Crore+","Rs 44,46,477 ~ 44 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13259
2019,HARYANA,SIRSA,6,Dalip Luna,IND,0,Post Graduate,31,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13267
2019,HARYANA,SIRSA,7,Deepak,IND,0,Graduate,28,"Rs 4,38,099 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13268
2019,HARYANA,SIRSA,8,Dr. Rajesh Mehandia,Peoples Party of India (Democratic),0,Doctorate,44,"Rs 31,22,910 ~ 31 Lacs+","Rs 36,000 ~ 36 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12194
2019,HARYANA,SIRSA,9,Hira Singh Hanspur,Pragatishil Samajwadi Party (Lohia),0,10th Pass,47,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13265
2019,HARYANA,SIRSA,10,Janak Raj Atwal,BSP,0,Post Graduate,50,"Rs 1,85,17,000 ~ 1 Crore+","Rs 15,00,000 ~ 15 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12193
2019,HARYANA,SIRSA,11,Jaswant,Bhartiya Shakti Chetna Party,0,8th Pass,41,"Rs 10,15,000 ~ 10 Lacs+","Rs 50,000 ~ 50 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12195
2019,HARYANA,SIRSA,12,Kashmir Chand Oad,IND,0,12th Pass,69,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13266
2019,HARYANA,SIRSA,13,Nirmal Singh,Jannayak Janta Party,0,12th Pass,37,"Rs 18,05,374 ~ 18 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12192
2019,HARYANA,SIRSA,14,Rajender Sirsa,IND,0,12th Pass,40,"Rs 6,90,377 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13264
2019,HARYANA,SIRSA,15,Rajesh Chaubara,Revolutionary Marxist Party of India,0,10th Pass,39,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13263
2019,HARYANA,SIRSA,17,Surajmal Athwal,IND,0,10th Pass,61,"Rs 1,10,04,576 ~ 1 Crore+","Rs 3,94,000 ~ 3 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13272
2019,HARYANA,SIRSA,18,Surender Kumar,IND,0,12th Pass,41,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13271
2019,HARYANA,SIRSA,19,Vinod Kumar Sirkiband (Gihara),IND,0,Literate,42,"Rs 11,10,000 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13269
2019,HARYANA,SIRSA,20,Virender Singh,IND,0,12th Pass,40,"Rs 8,55,330 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13270
