Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,JAMMU & KASHMIR,JAMMU,9,Jugal Kishore,BJP,0,10th Pass,56,Not Available,Not Available,Yes
2019,JAMMU & KASHMIR,JAMMU,1,Ajay Kumar,IND,0,Post Graduate,49,"Rs 17,92,79,000 ~ 17 Crore+","Rs 33,54,000 ~ 33 Lacs+",No
2019,JAMMU & KASHMIR,JAMMU,2,Anil Singh,IND,0,Graduate Professional,25,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
2019,JAMMU & KASHMIR,JAMMU,3,Badri Nath,BSP,0,10th Pass,62,Not Available,Not Available,No
2019,JAMMU & KASHMIR,JAMMU,4,Bahadur,IND,0,10th Pass,39,"Rs 44,66,781 ~ 44 Lacs+","Rs 45,00,000 ~ 45 Lacs+",No
2019,JAMMU & KASHMIR,JAMMU,5,Balwan Singh,IND,0,8th Pass,45,"Rs 55,35,000 ~ 55 Lacs+",Rs 0 ~,No
2019,JAMMU & KASHMIR,JAMMU,6,Er. Ghulam Mustafa Chowdhary,IND,0,Others,37,Not Available,Not Available,No
2019,JAMMU & KASHMIR,JAMMU,7,Gursagar Singh,Navarang Congress Party,0,12th Pass,39,"Rs 4,54,00,000 ~ 4 Crore+","Rs 35,30,000 ~ 35 Lacs+",No
2019,JAMMU & KASHMIR,JAMMU,8,Javaid Ahmed,AIFB,0,12th Pass,37,"Rs 22,07,000 ~ 22 Lacs+",Rs 0 ~,No
2019,JAMMU & KASHMIR,JAMMU,10,Lal Singh,Dogra Swabhiman Sangathan Party,0,Graduate,60,"Rs 2,03,55,810 ~ 2 Crore+","Rs 19,50,000 ~ 19 Lacs+",No
2019,JAMMU & KASHMIR,JAMMU,11,Manish Sahni,SHS,0,Graduate,50,"Rs 1,18,07,830 ~ 1 Crore+","Rs 12,90,000 ~ 12 Lacs+",No
2019,JAMMU & KASHMIR,JAMMU,12,Mohd Younis,Jammu & Kashmir Pir Panjal Awami Party,0,Graduate Professional,54,Not Available,Not Available,No
2019,JAMMU & KASHMIR,JAMMU,13,Perseen Singh,IND,0,12th Pass,39,"Rs 1,35,000 ~ 1 Lacs+",Rs 0 ~,No
2019,JAMMU & KASHMIR,JAMMU,14,Prof. Bhim Singh,Jammu & Kashmir National Panthers Party,0,Post Graduate,78,"Rs 84,000 ~ 84 Thou+",Rs 0 ~,No
2019,JAMMU & KASHMIR,JAMMU,15,Rajiv Chuni,IND,0,10th Pass,56,Not Available,Not Available,No
2019,JAMMU & KASHMIR,JAMMU,16,Raman Bhalla,INC,0,Graduate Professional,56,"Rs 5,92,72,009 ~ 5 Crore+","Rs 68,05,874 ~ 68 Lacs+",No
2019,JAMMU & KASHMIR,JAMMU,17,Sakander Ahmad Nourani,IND,0,Post Graduate,30,"Rs 4,21,000 ~ 4 Lacs+",Rs 0 ~,No
2019,JAMMU & KASHMIR,JAMMU,18,Satish Poonchi,IND,0,10th Pass,70,Not Available,Not Available,No
2019,JAMMU & KASHMIR,JAMMU,19,Shazad Shabnam,IND,1,10th Pass,27,"Rs 5,40,14,426 ~ 5 Crore+","Rs 2,50,00,000 ~ 2 Crore+",No
2019,JAMMU & KASHMIR,JAMMU,20,Subash Chander,IND,0,8th Pass,53,"Rs 74,80,000 ~ 74 Lacs+",Rs 0 ~,No
2019,JAMMU & KASHMIR,JAMMU,21,Sushil Kumar,Hindusthan Nirman Dal,0,Graduate,46,Not Available,Not Available,No
2019,JAMMU & KASHMIR,JAMMU,22,Syed Aqib Hussain,Independent Peoples Party,0,Graduate Professional,27,"Rs 37,68,800 ~ 37 Lacs+",Rs 0 ~,No
2019,JAMMU & KASHMIR,JAMMU,23,Syed Zeshan Haider,IND,0,12th Pass,28,"Rs 90,000 ~ 90 Thou+",Rs 0 ~,No
2019,JAMMU & KASHMIR,JAMMU,24,Tarseem Lal Khullar,IND,0,10th Pass,53,Not Available,Not Available,No
