Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,JHARKHAND,DHANBAD,12,Pashupati Nath Singh,BJP,0,Graduate,69,Not Available,Not Available,Yes
2019,JHARKHAND,DHANBAD,1,Bamapada Bauri,IND,1,Post Graduate,58,"Rs 30,52,000 ~ 30 Lacs+",Rs 0 ~,No
2019,JHARKHAND,DHANBAD,2,Deepak Kumar Das,Peoples Party of India (Democratic),0,12th Pass,35,"Rs 14,77,000 ~ 14 Lacs+",Rs 0 ~,No
2019,JHARKHAND,DHANBAD,3,Heera Lal Shankhvar,AIFB,0,Post Graduate,69,Not Available,Not Available,No
2019,JHARKHAND,DHANBAD,4,K.C.Singh Raj,IND,0,Post Graduate,67,"Rs 10,83,000 ~ 10 Lacs+",Rs 0 ~,No
2019,JHARKHAND,DHANBAD,5,Kirti Azad,INC,4,Graduate,58,"Rs 8,40,26,755 ~ 8 Crore+","Rs 51,47,300 ~ 51 Lacs+",No
2019,JHARKHAND,DHANBAD,6,Lakshmi Devi,IND,0,Literate,49,Not Available,Not Available,No
2019,JHARKHAND,DHANBAD,7,Madhvi Singh,AITC,0,8th Pass,41,"Rs 2,13,65,000 ~ 2 Crore+",Rs 0 ~,No
2019,JHARKHAND,DHANBAD,8,Mantosh Kumar Mandal,Amra Bangalee,0,Post Graduate,72,"Rs 46,93,000 ~ 46 Lacs+",Rs 0 ~,No
2019,JHARKHAND,DHANBAD,9,Meghnath Rawani,BSP,0,Graduate Professional,47,Not Available,Not Available,No
2019,JHARKHAND,DHANBAD,10,Meraj Khan,SP,3,12th Pass,40,"Rs 40,70,260 ~ 40 Lacs+","Rs 2,50,000 ~ 2 Lacs+",No
2019,JHARKHAND,DHANBAD,11,Mihir Chandra Mahato,Ambedkarite Party of India,0,12th Pass,43,"Rs 6,31,000 ~ 6 Lacs+",Rs 0 ~,No
2019,JHARKHAND,DHANBAD,13,Prem Prakash Paswan,IND,0,12th Pass,35,"Rs 6,02,150 ~ 6 Lacs+",Rs 0 ~,No
2019,JHARKHAND,DHANBAD,14,Rajesh Kumar Singh,IND,0,Graduate,51,"Rs 2,40,38,468 ~ 2 Crore+","Rs 1,49,43,313 ~ 1 Crore+",No
2019,JHARKHAND,DHANBAD,15,Ram Lal Mahto,SUCI(C),0,Graduate,69,Not Available,Not Available,No
2019,JHARKHAND,DHANBAD,16,Sanjay Paswan,IND,0,8th Pass,34,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2019,JHARKHAND,DHANBAD,17,Siddharth Gautam,IND,2,10th Pass,33,"Rs 1,76,51,935 ~ 1 Crore+",Rs 0 ~,No
2019,JHARKHAND,DHANBAD,18,Sudhir Kumar Mahato,Bahujan Mukti Party,0,Graduate Professional,53,Not Available,Not Available,No
2019,JHARKHAND,DHANBAD,19,Umesh Paswan,IND,0,Literate,55,"Rs 1,79,496 ~ 1 Lacs+","Rs 20,000 ~ 20 Thou+",No
2019,JHARKHAND,DHANBAD,20,Varun Kumar,IND,0,Graduate,29,"Rs 92,800 ~ 92 Thou+","Rs 19,500 ~ 19 Thou+",No
