Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,JHARKHAND,GODDA,10,Nishikant Dubey,BJP,4,Doctorate,47,"Rs 46,27,57,500 ~ 46 Crore+",Rs 0 ~,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12998
2019,JHARKHAND,GODDA,1,Anup Kumar Sinha,IND,0,Graduate,43,"Rs 1,08,95,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14090
2019,JHARKHAND,GODDA,2,Asha Makede,Pichhara Samaj Party United,0,Doctorate,49,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14086
2019,JHARKHAND,GODDA,3,Bajrangi Mahtha,Bahujan Mukti Party,9,12th Pass,34,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14088
2019,JHARKHAND,GODDA,4,Birendra Kumar,IND,1,Post Graduate,36,"Rs 4,10,031 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14095
2019,JHARKHAND,GODDA,5,Jitendra Kumar Barnwal,IND,0,12th Pass,34,"Rs 13,14,140 ~ 13 Lacs+","Rs 3,53,210 ~ 3 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14091
2019,JHARKHAND,GODDA,6,K. Rangaiah,IND,0,Post Graduate,82,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14094
2019,JHARKHAND,GODDA,7,Madhusudan Ray,IND,0,10th Pass,52,"Rs 8,71,394 ~ 8 Lacs+","Rs 3,585 ~ 3 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14092
2019,JHARKHAND,GODDA,8,Mahesh Kumar Suman,IND,0,Post Graduate,55,"Rs 2,20,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14093
2019,JHARKHAND,GODDA,9,Murari Kapri,Aam Adhikar Morcha,0,8th Pass,35,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14089
2019,JHARKHAND,GODDA,11,Noor Hassan,Rashtriya Samta Party (Secular),0,Graduate,47,"Rs 20,51,330 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14087
2019,JHARKHAND,GODDA,12,Pradeep Yadav,Jharkhand Vikas Morcha (Prajatantrik),13,Graduate,53,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14085
2019,JHARKHAND,GODDA,13,Zaffar Obaid,BSP,0,Doctorate,46,"Rs 8,73,613 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12997
