Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,JHARKHAND,JAMSHEDPUR,6,Bidyut Baran Mahato,BJP,3,12th Pass,56,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12222
2019,JHARKHAND,JAMSHEDPUR,1,Angad Mahato,Amra Bangalee,0,10th Pass,51,"Rs 32,76,000 ~ 32 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12219
2019,JHARKHAND,JAMSHEDPUR,2,Anjana Mahata,AITC,0,Post Graduate,38,"Rs 80,60,342 ~ 80 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12217
2019,JHARKHAND,JAMSHEDPUR,3,Ashraf Hussain,BSP,0,12th Pass,39,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12220
2019,JHARKHAND,JAMSHEDPUR,4,Asit Kumar Singh,IND,0,Graduate Professional,49,"Rs 24,94,948 ~ 24 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13346
2019,JHARKHAND,JAMSHEDPUR,5,Asjadullah Imran,Bharat Prabhat Party,1,12th Pass,49,"Rs 28,69,628 ~ 28 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12906
2019,JHARKHAND,JAMSHEDPUR,7,Champai Soren,JMM,1,10th Pass,62,"Rs 2,28,22,491 ~ 2 Crore+","Rs 76,50,059 ~ 76 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12909
2019,JHARKHAND,JAMSHEDPUR,8,Chandra Shekhar Mahato,Peoples Party of India (Democratic),0,Post Graduate,47,"Rs 32,48,346 ~ 32 Lacs+","Rs 17,209 ~ 17 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12912
2019,JHARKHAND,JAMSHEDPUR,9,Deepak Kumar Giri,IND,0,12th Pass,37,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13348
2019,JHARKHAND,JAMSHEDPUR,10,Dinesh Mahato,IND,2,12th Pass,46,"Rs 58,71,513 ~ 58 Lacs+","Rs 29,500 ~ 29 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13347
2019,JHARKHAND,JAMSHEDPUR,11,Mahesh Kumar,Right to Recall Party,0,Graduate Professional,36,"Rs 10,74,449 ~ 10 Lacs+","Rs 5,67,313 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12218
2019,JHARKHAND,JAMSHEDPUR,12,Malay Kumar Mahato,CPI(ML) Red Star,0,12th Pass,37,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12908
2019,JHARKHAND,JAMSHEDPUR,13,Mubin Khan,IND,0,12th Pass,58,"Rs 13,65,000 ~ 13 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12216
2019,JHARKHAND,JAMSHEDPUR,14,Panmani Singh,SUCI(C),0,Graduate,62,"Rs 42,83,897 ~ 42 Lacs+","Rs 20,000 ~ 20 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12913
2019,JHARKHAND,JAMSHEDPUR,15,Qamar Raza Khan,Bhartiya Panchyat Party,0,Others,34,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12907
2019,JHARKHAND,JAMSHEDPUR,16,Rakesh Kumar,IND,0,Graduate,42,"Rs 74,00,000 ~ 74 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13349
2019,JHARKHAND,JAMSHEDPUR,17,Ranjit Kumar Singh,Jharkhand Party,0,Graduate,54,"Rs 2,09,15,000 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12910
2019,JHARKHAND,JAMSHEDPUR,18,Sabita Kaibarto,Aihra National Party,0,12th Pass,35,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12904
2019,JHARKHAND,JAMSHEDPUR,19,Sarita Anand,IND,0,Graduate,38,"Rs 1,40,22,115 ~ 1 Crore+","Rs 70,93,866 ~ 70 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13351
2019,JHARKHAND,JAMSHEDPUR,20,Shailesh Kumar Singh,IND,0,Graduate,49,"Rs 3,00,68,000 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13350
2019,JHARKHAND,JAMSHEDPUR,21,Shekh Akhir Uddin,Jharkhand Party (Naren),2,8th Pass,54,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12221
2019,JHARKHAND,JAMSHEDPUR,22,Subrat Kumar Pradhan,Ambedkarite Party of India,0,Graduate Professional,53,"Rs 3,25,043 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12905
2019,JHARKHAND,JAMSHEDPUR,23,Surya Singh Besra,Jharkhand Peoples Party,1,Post Graduate,57,"Rs 1,20,36,532 ~ 1 Crore+","Rs 12,00,000 ~ 12 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12911
