Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,KARNATAKA,BANGALORE_SOUTH,20,Tejasvi Surya,BJP,0,Graduate Professional,28,"Rs 13,46,593 ~ 13 Lacs+",Rs 0 ~,Yes
2019,KARNATAKA,BANGALORE_SOUTH,1,A.Raju,BSP,0,Graduate,58,"Rs 5,44,19,000 ~ 5 Crore+","Rs 4,60,000 ~ 4 Lacs+",No
2019,KARNATAKA,BANGALORE_SOUTH,2,Ambrose D Mello,IND,0,Post Graduate,51,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No
2019,KARNATAKA,BANGALORE_SOUTH,3,B.Chikka Nagesha,IND,0,10th Pass,61,Not Available,Not Available,No
2019,KARNATAKA,BANGALORE_SOUTH,4,B.K.Hariprasad,INC,0,Graduate,64,"Rs 15,08,01,799 ~ 15 Crore+","Rs 3,44,00,000 ~ 3 Crore+",No
2019,KARNATAKA,BANGALORE_SOUTH,5,B.Sreenivasulu,IND,0,Post Graduate,41,"Rs 20,11,625 ~ 20 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BANGALORE_SOUTH,6,Bhagya.S,IND,0,Others,43,Not Available,Not Available,No
2019,KARNATAKA,BANGALORE_SOUTH,7,Brahmanand.N,IND,0,8th Pass,52,"Rs 3,42,25,000 ~ 3 Crore+",Rs 0 ~,No
2019,KARNATAKA,BANGALORE_SOUTH,8,Chetan Chaman,IND,0,Graduate,36,"Rs 14,37,610 ~ 14 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BANGALORE_SOUTH,9,Dr. Banuprakash A.S,Pyramid Party of India,0,Post Graduate,43,Not Available,Not Available,No
2019,KARNATAKA,BANGALORE_SOUTH,10,Dr.John Basco Philips,Indian Christian Front,0,Others,47,"Rs 1,30,000 ~ 1 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BANGALORE_SOUTH,11,G Venkatesh Bhovi,IND,0,10th Pass,58,"Rs 34,17,000 ~ 34 Lacs+","Rs 5,000 ~ 5 Thou+",No
2019,KARNATAKA,BANGALORE_SOUTH,12,K.C.Nagabhushana Reddy,IND,0,Graduate Professional,51,Not Available,Not Available,No
2019,KARNATAKA,BANGALORE_SOUTH,13,Kollur Manjunatha Naik,IND,3,Graduate Professional,38,"Rs 25,21,500 ~ 25 Lacs+","Rs 1,20,000 ~ 1 Lacs+",No
2019,KARNATAKA,BANGALORE_SOUTH,14,Madesh.V,IND,0,12th Pass,43,"Rs 6,37,553 ~ 6 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BANGALORE_SOUTH,15,Manohar Iyer,IND,0,Graduate,40,Not Available,Not Available,No
2019,KARNATAKA,BANGALORE_SOUTH,16,Prashantha.C,IND,0,Post Graduate,30,"Rs 1,48,000 ~ 1 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BANGALORE_SOUTH,17,Ravikumara.T,Pragatishil Samajwadi Party (Lohia),0,Graduate Professional,37,"Rs 13,48,000 ~ 13 Lacs+","Rs 4,50,000 ~ 4 Lacs+",No
2019,KARNATAKA,BANGALORE_SOUTH,18,Santhosh Min B,IND,0,Others,43,Not Available,Not Available,No
2019,KARNATAKA,BANGALORE_SOUTH,19,Syed Sadiq Pasha,Karnataka Karmikara Paksha,0,8th Pass,44,"Rs 52,93,600 ~ 52 Lacs+","Rs 3,05,000 ~ 3 Lacs+",No
2019,KARNATAKA,BANGALORE_SOUTH,21,Thyagaraj,Republican Sena,0,10th Pass,35,Not Available,Not Available,No
2019,KARNATAKA,BANGALORE_SOUTH,22,Vatal Nagaraj,Kannada Chalavali Vatal Paksha,0,10th Pass,70,"Rs 6,55,60,974 ~ 6 Crore+","Rs 13,10,271 ~ 13 Lacs+",No
2019,KARNATAKA,BANGALORE_SOUTH,23,Yogeesh Nagaraj,IND,0,12th Pass,35,"Rs 6,10,45,000 ~ 6 Crore+",Rs 0 ~,No
