Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,KARNATAKA,BELGAUM,2,Angadi Suresh,BJP,0,Graduate Professional,63,"Rs 36,61,64,525 ~ 36 Crore+","Rs 19,84,79,638 ~ 19 Crore+",Yes
2019,KARNATAKA,BELGAUM,1,Anand Ramesh Patil,IND,0,Graduate Professional,54,"Rs 8,66,102 ~ 8 Lacs+","Rs 2,50,000 ~ 2 Lacs+",No
2019,KARNATAKA,BELGAUM,3,Anil Baban Hegade,IND,0,10th Pass,42,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,4,Ashutosh Shashikant Kamble,IND,0,10th Pass,27,"Rs 30,129 ~ 30 Thou+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,5,Badaroddin Mohammadyusuf Kamdod,BSP,0,Graduate,43,"Rs 1,80,12,500 ~ 1 Crore+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,6,Buland Deepak Dalavi,IND,0,12th Pass,44,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,7,Chetak Kumar Yallappa Kamble,IND,0,Graduate,33,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,8,Dhananjay Rajaram Patil,IND,0,12th Pass,42,"Rs 67,30,605 ~ 67 Lacs+","Rs 35,20,000 ~ 35 Lacs+",No
2019,KARNATAKA,BELGAUM,9,Dilshaad Sikandar Tahashildar,RPI(A),0,Literate,44,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,10,Dr.Virupakshappa Sadhunavar,INC,0,Graduate Professional,69,"Rs 31,58,66,105 ~ 31 Crore+","Rs 22,52,14,094 ~ 22 Crore+",No
2019,KARNATAKA,BELGAUM,11,Gajanan Amrut Thokanekar,IND,0,12th Pass,51,"Rs 2,12,500 ~ 2 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,12,Ganesh Daddikar,IND,1,Others,42,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,13,Gopal Balavantrao Desai,IND,0,10th Pass,60,"Rs 58,00,000 ~ 58 Lacs+","Rs 2,50,000 ~ 2 Lacs+",No
2019,KARNATAKA,BELGAUM,14,Kallappa Krishnappa Kowadkar,IND,0,10th Pass,38,"Rs 51,41,500 ~ 51 Lacs+","Rs 30,000 ~ 30 Thou+",No
2019,KARNATAKA,BELGAUM,15,Kavita Deepak Kole,IND,0,10th Pass,36,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,16,Krishnakant Kamanna Birje,IND,0,10th Pass,69,"Rs 37,24,000 ~ 37 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
2019,KARNATAKA,BELGAUM,17,Lakshmanarav Melage,IND,0,Graduate,85,"Rs 8,96,000 ~ 8 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,18,Laxman Bhimarao Dalavi,IND,0,10th Pass,44,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,19,Mahadev Maruti Manganakar,IND,0,10th Pass,45,"Rs 8,70,200 ~ 8 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,20,Manjunath Rajappanavar,Uttama Prajaakeeya Party,0,Graduate,38,"Rs 22,12,500 ~ 22 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,21,Maruti Siddappa Chougule,IND,0,10th Pass,51,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,22,Megharaj Shivagoudappa Khanagoudar,IND,0,10th Pass,30,Nil,Rs 0 ~,No
2019,KARNATAKA,BELGAUM,23,Nagesh Subhash Bobate,IND,0,10th Pass,26,"Rs 93,500 ~ 93 Thou+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,24,Nanda Maruti Kodachwadkar,IND,0,10th Pass,54,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,25,Neelkanth Mahadev Patil,IND,0,12th Pass,52,"Rs 4,08,01,000 ~ 4 Crore+","Rs 7,25,000 ~ 7 Lacs+",No
2019,KARNATAKA,BELGAUM,26,Niteen Dhondiba Anandache,IND,0,Graduate Professional,48,"Rs 5,70,169 ~ 5 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,27,Onkarsingh C Bhatia,IND,0,10th Pass,57,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,28,Pandurang Mallappa Pattan,IND,0,10th Pass,61,"Rs 25,200 ~ 25 Thou+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,29,Prabhakar Bhujang Patil,IND,0,10th Pass,51,"Rs 85,200 ~ 85 Thou+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,30,Prakash Balappa Nesarkar,IND,0,10th Pass,48,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,31,Pranam Prakash Patil,IND,0,12th Pass,40,"Rs 2,12,500 ~ 2 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,32,Rajendra Yallappa Patil,IND,0,10th Pass,44,"Rs 2,40,500 ~ 2 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
2019,KARNATAKA,BELGAUM,33,Raju Changappa Divatage,IND,0,5th Pass,41,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,34,Ramchandra Dattoba Patil,IND,0,10th Pass,64,"Rs 3,34,000 ~ 3 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,35,Ramchandra Krishna Gaonkar,IND,0,8th Pass,38,"Rs 17,36,000 ~ 17 Lacs+","Rs 15,000 ~ 15 Thou+",No
2019,KARNATAKA,BELGAUM,36,Ranjit Kallappa Patil,IND,1,10th Pass,41,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,37,Sachin Manohar Nikam,IND,0,10th Pass,42,"Rs 1,52,500 ~ 1 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,38,Sachin Shantaram Kelavekar,IND,0,12th Pass,31,"Rs 15,49,200 ~ 15 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,39,Sandeep Vasant Lad,IND,0,Graduate,35,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,40,Sanjay Kamble,IND,0,8th Pass,39,"Rs 5,86,000 ~ 5 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,41,Shankar Chogule,IND,0,Post Graduate,64,"Rs 35,34,061 ~ 35 Lacs+","Rs 4,00,000 ~ 4 Lacs+",No
2019,KARNATAKA,BELGAUM,42,Shankar Pandappa Rathod,IND,0,10th Pass,50,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,43,Shivaraj Narayan Patil,IND,0,12th Pass,54,"Rs 2,70,570 ~ 2 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,44,Shrikant Balkrishna Kadam,IND,0,10th Pass,31,"Rs 31,45,814 ~ 31 Lacs+","Rs 20,00,000 ~ 20 Lacs+",No
2019,KARNATAKA,BELGAUM,45,Shubham Vikrant Shelke,IND,0,10th Pass,25,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,46,Sunil Guddakayu,IND,0,Graduate,34,"Rs 74,84,000 ~ 74 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,47,Sunil Vittal Dasar,IND,0,10th Pass,31,"Rs 6,88,500 ~ 6 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No
2019,KARNATAKA,BELGAUM,48,Suresh Basappa Maralingannavar,IND,0,Post Graduate,46,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,49,Suresh Khemanna Rajukar,IND,0,Graduate,58,"Rs 4,13,773 ~ 4 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,50,Uday Naik,IND,0,Graduate,29,"Rs 4,01,000 ~ 4 Lacs+","Rs 65,000 ~ 65 Thou+",No
2019,KARNATAKA,BELGAUM,51,Uday Ramappa Kundargi,IND,0,Graduate Professional,54,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,52,Vijay Krishna Madar,IND,0,Graduate,40,"Rs 3,05,301 ~ 3 Lacs+","Rs 50,000 ~ 50 Thou+",No
2019,KARNATAKA,BELGAUM,53,Vijay Laxman Patil,IND,0,Graduate,59,"Rs 67,06,796 ~ 67 Lacs+",Rs 0 ~,No
2019,KARNATAKA,BELGAUM,54,Vinayak Balakrishna More,IND,0,Others,26,Not Available,Not Available,No
2019,KARNATAKA,BELGAUM,55,Vinayak Gopal Gunjatkar,IND,0,Others,48,"Rs 2,66,33,646 ~ 2 Crore+","Rs 11,88,000 ~ 11 Lacs+",No
