Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,KARNATAKA,CHIKKBALLAPUR,3,B.N.Bache Gowda,BJP,0,Graduate Professional,76,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7659
2019,KARNATAKA,CHIKKBALLAPUR,1,Abdulkarim Desai,IND,0,Post Graduate,61,"Rs 85,99,316 ~ 85 Lacs+","Rs 31,00,000 ~ 31 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7673
2019,KARNATAKA,CHIKKBALLAPUR,2,Alanguru Kanakalakshmi,IND,0,10th Pass,30,"Rs 39,20,000 ~ 39 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7651
2019,KARNATAKA,CHIKKBALLAPUR,4,D.Palya Khadar Subhan Khan,Samajwadi Janata Party(Karnataka),0,10th Pass,48,"Rs 64,50,000 ~ 64 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7668
2019,KARNATAKA,CHIKKBALLAPUR,5,Dr. C.S.Dwarakanath,BSP,0,Post Graduate,65,"Rs 4,08,44,395 ~ 4 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7656
2019,KARNATAKA,CHIKKBALLAPUR,6,L. Nagaraj,IND,0,Others,62,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7652
2019,KARNATAKA,CHIKKBALLAPUR,7,M.Veerappa Moily,INC,0,Graduate Professional,79,"Rs 23,45,15,884 ~ 23 Crore+","Rs 10,43,16,683 ~ 10 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7655
2019,KARNATAKA,CHIKKBALLAPUR,8,Muniraju.G,Uttama Prajaakeeya Party,0,Others,30,"Rs 36,399 ~ 36 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7654
2019,KARNATAKA,CHIKKBALLAPUR,9,Nagendra Rao Shinde,Karnataka Jantha Paksha,0,Post Graduate,43,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7672
2019,KARNATAKA,CHIKKBALLAPUR,10,Nalina.K.S,IND,0,12th Pass,26,"Rs 66,925 ~ 66 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7657
2019,KARNATAKA,CHIKKBALLAPUR,11,Nasrulla,IND,0,Literate,38,"Rs 17,000 ~ 17 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7653
2019,KARNATAKA,CHIKKBALLAPUR,12,Nazir Ahmed,Karnataka Karmikara Paksha,0,10th Pass,62,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7669
2019,KARNATAKA,CHIKKBALLAPUR,13,Phaniraj.S.V,IND,0,Others,38,"Rs 30,53,000 ~ 30 Lacs+","Rs 5,75,000 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7661
2019,KARNATAKA,CHIKKBALLAPUR,14,S.R.Nageshareddy,Ambedkar Samaj Party,0,8th Pass,36,"Rs 6,70,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7671
2019,KARNATAKA,CHIKKBALLAPUR,15,S.Varalakshmi,CPI(M),3,12th Pass,48,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7660
