Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,KARNATAKA,CHIKKODI,1,Annasaheb Shankar Jolle,BJP,0,12th Pass,55,"Rs 34,49,22,831 ~ 34 Crore+","Rs 19,55,95,693 ~ 19 Crore+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10428
2019,KARNATAKA,CHIKKODI,2,Appasaheb Shripati Kurane,Bharipa Bahujan Mahasangh,0,12th Pass,37,"Rs 11,84,890 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10432
2019,KARNATAKA,CHIKKODI,3,Jitendra Subhash Nerle,IND,0,10th Pass,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10429
2019,KARNATAKA,CHIKKODI,4,Kallappa Adiveppa Gudasi,IND,0,12th Pass,63,"Rs 61,85,000 ~ 61 Lacs+","Rs 9,00,000 ~ 9 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10436
2019,KARNATAKA,CHIKKODI,5,Machchendra Davalu Kadapure,BSP,0,8th Pass,49,"Rs 1,86,398 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10433
2019,KARNATAKA,CHIKKODI,6,Magdum Ismailmagdum,RPI,0,10th Pass,58,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7020
2019,KARNATAKA,CHIKKODI,7,Mohan Gurappa Motannavar,IND,0,Graduate Professional,43,"Rs 13,92,350 ~ 13 Lacs+","Rs 2,55,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10427
2019,KARNATAKA,CHIKKODI,8,Prakash Babanna Hukkeri,INC,0,10th Pass,72,"Rs 19,21,38,555 ~ 19 Crore+","Rs 38,81,000 ~ 38 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10431
2019,KARNATAKA,CHIKKODI,9,Praveenkumar Baligatti,Uttama Prajaakeeya Party,0,Graduate Professional,27,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7021
2019,KARNATAKA,CHIKKODI,10,Shrinik Annasaheb Jangate,IND,0,12th Pass,40,"Rs 10,00,000 ~ 10 Lacs+","Rs 1,60,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10430
2019,KARNATAKA,CHIKKODI,11,Vishwnath Kalloli Wajantri,IND,0,12th Pass,29,"Rs 1,51,500 ~ 1 Lacs+","Rs 40,000 ~ 40 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10437
