Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,KARNATAKA,HAVERI,9,Udasi. S.C.,BJP,0,12th Pass,52,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10394
2019,KARNATAKA,HAVERI,1,Ayubakhan A Pathan,BSP,0,Graduate Professional,64,"Rs 65,29,968 ~ 65 Lacs+","Rs 26,65,862 ~ 26 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10392
2019,KARNATAKA,HAVERI,2,Basavaraj. S. Desai,IND,0,10th Pass,48,"Rs 12,12,859 ~ 12 Lacs+","Rs 4,88,988 ~ 4 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7042
2019,KARNATAKA,HAVERI,3,Bommoji Ramappa Siddappa,IND,0,Graduate Professional,65,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10396
2019,KARNATAKA,HAVERI,4,D.R. Patil,INC,0,Graduate Professional,72,"Rs 5,34,24,424 ~ 5 Crore+","Rs 25,74,740 ~ 25 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10393
2019,KARNATAKA,HAVERI,5,Hanumanthappa D Kabbar,IND,0,12th Pass,35,"Rs 13,87,000 ~ 13 Lacs+","Rs 55,000 ~ 55 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10399
2019,KARNATAKA,HAVERI,6,Ishwar Patil,Uttama Prajaakeeya Party,0,10th Pass,37,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7043
2019,KARNATAKA,HAVERI,7,Shylesh Nazare Ashok,Indian Labour Party (Ambedkar Phule),0,Graduate,49,"Rs 1,34,57,336 ~ 1 Crore+","Rs 4,20,000 ~ 4 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10395
2019,KARNATAKA,HAVERI,8,Siddappa Kallappa Poojar,IND,0,10th Pass,37,"Rs 70,500 ~ 70 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10398
2019,KARNATAKA,HAVERI,10,Veerabhadrappa Veerappa Kabbinada,IND,0,5th Pass,72,"Rs 2,15,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10397
