Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,KARNATAKA,UTTARA_KANNADA,2,Anantkumar Hegde,BJP,4,12th Pass,51,"Rs 8,47,55,455 ~ 8 Crore+","Rs 4,10,16,655 ~ 4 Crore+",Yes
2019,KARNATAKA,UTTARA_KANNADA,1,Anand Asnotikar,JD(S),1,Post Graduate,39,"Rs 72,19,16,901 ~ 72 Crore+","Rs 2,38,00,806 ~ 2 Crore+",No
2019,KARNATAKA,UTTARA_KANNADA,3,Anita Ashok Shet,IND,0,10th Pass,52,Not Available,Not Available,No
2019,KARNATAKA,UTTARA_KANNADA,4,Balakrishna Arjun Patil,IND,0,Post Graduate,39,"Rs 22,00,858 ~ 22 Lacs+","Rs 37,500 ~ 37 Thou+",No
2019,KARNATAKA,UTTARA_KANNADA,5,Chidanand Harijan,IND,0,Literate,58,"Rs 14,65,000 ~ 14 Lacs+","Rs 2,70,000 ~ 2 Lacs+",No
2019,KARNATAKA,UTTARA_KANNADA,6,Kundabai Ganapati Parulekar,IND,0,Graduate,63,Not Available,Not Available,No
2019,KARNATAKA,UTTARA_KANNADA,7,Manjunath Sadashiv,Bharat Bhoomi Party,0,Post Graduate,34,"Rs 8,70,000 ~ 8 Lacs+",Rs 0 ~,No
2019,KARNATAKA,UTTARA_KANNADA,8,Mohammed Zabrood Khateeb,IND,2,5th Pass,44,"Rs 5,49,390 ~ 5 Lacs+","Rs 2,39,000 ~ 2 Lacs+",No
2019,KARNATAKA,UTTARA_KANNADA,9,Nagaraj Anant Shirali,IND,0,10th Pass,52,Not Available,Not Available,No
2019,KARNATAKA,UTTARA_KANNADA,10,Nagaraj Naik,Rashtriya Samaj Paksha,3,10th Pass,36,"Rs 81,095 ~ 81 Thou+","Rs 2,60,610 ~ 2 Lacs+",No
2019,KARNATAKA,UTTARA_KANNADA,11,Nagraj Shridhar Shet,Rashtriya Jansambhavna Party,0,8th Pass,32,"Rs 35,50,000 ~ 35 Lacs+",Rs 0 ~,No
2019,KARNATAKA,UTTARA_KANNADA,12,Sudhakar Kira Jogalekar,BSP,0,Post Graduate,54,Not Available,Not Available,No
2019,KARNATAKA,UTTARA_KANNADA,13,Sunil Pawar,Uttama Prajaakeeya Party,0,Graduate,32,"Rs 1,71,808 ~ 1 Lacs+","Rs 1,39,887 ~ 1 Lacs+",No
