Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,KERALA,ALAPPUZHA,1,A M Ariff,CPI(M),2,Graduate Professional,54,"Rs 1,52,68,906 ~ 1 Crore+","Rs 22,20,700 ~ 22 Lacs+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8813
2019,KERALA,ALAPPUZHA,2,Akhilesh,Ambedkarite Party of India,0,12th Pass,38,"Rs 1,06,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8819
2019,KERALA,ALAPPUZHA,3,Parthasarathy Varma,SUCI(C),0,Others,51,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8812
2019,KERALA,ALAPPUZHA,4,Prasanth,BSP,2,Graduate,33,"Rs 20,360 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8817
2019,KERALA,ALAPPUZHA,5,Radhakrishnan,BJP,1,Doctorate,64,"Rs 1,64,84,722 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8815
2019,KERALA,ALAPPUZHA,6,Rajeevan,IND,0,12th Pass,46,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8818
2019,KERALA,ALAPPUZHA,7,Santhosh,IND,0,10th Pass,46,"Rs 10,22,408 ~ 10 Lacs+","Rs 25,000 ~ 25 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8811
2019,KERALA,ALAPPUZHA,8,Satheesh Shenoy,IND,0,Others,37,"Rs 13,39,68,000 ~ 13 Crore+","Rs 2,76,89,000 ~ 2 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8821
2019,KERALA,ALAPPUZHA,9,Shan K S,SDPI,2,Graduate Professional,36,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8820
2019,KERALA,ALAPPUZHA,10,Shanimol,INC,0,Post Graduate,52,"Rs 1,86,65,943 ~ 1 Crore+","Rs 8,25,000 ~ 8 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8814
2019,KERALA,ALAPPUZHA,11,Thahir,IND,0,10th Pass,36,"Rs 3,60,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8822
2019,KERALA,ALAPPUZHA,12,Varkala Raj,Peoples Democratic Party,0,12th Pass,59,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8816
