Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,KERALA,ATTINGAL,2,Adoor Prakash,INC,7,Graduate Professional,63,"Rs 14,40,98,612 ~ 14 Crore+","Rs 2,76,22,685 ~ 2 Crore+",Yes
2019,KERALA,ATTINGAL,1,A.Sampath,CPI(M),0,Doctorate,56,"Rs 3,84,48,688 ~ 3 Crore+","Rs 36,11,333 ~ 36 Lacs+",No
2019,KERALA,ATTINGAL,3,Ajmal Ismail,SDPI,3,Graduate Professional,36,Not Available,Not Available,No
2019,KERALA,ATTINGAL,4,Anitha,IND,0,Graduate,34,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No
2019,KERALA,ATTINGAL,5,Attingal Ajith Kumar,IND,0,10th Pass,51,"Rs 50,800 ~ 50 Thou+",Rs 0 ~,No
2019,KERALA,ATTINGAL,6,Devadathan,IND,0,10th Pass,70,Not Available,Not Available,No
2019,KERALA,ATTINGAL,7,Irinjayam Suresh,IND,0,10th Pass,45,Nil,Rs 0 ~,No
2019,KERALA,ATTINGAL,8,K.G.Mohanan,IND,0,10th Pass,59,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No
2019,KERALA,ATTINGAL,9,Maheen Thevarupara,IND,0,10th Pass,31,Not Available,Not Available,No
2019,KERALA,ATTINGAL,10,Manoj M,IND,0,10th Pass,30,"Rs 69,850 ~ 69 Thou+",Rs 0 ~,No
2019,KERALA,ATTINGAL,11,P.Ramsagar,IND,0,12th Pass,48,"Rs 5,89,800 ~ 5 Lacs+","Rs 26,510 ~ 26 Thou+",No
2019,KERALA,ATTINGAL,12,Prakash G,IND,0,10th Pass,59,Not Available,Not Available,No
2019,KERALA,ATTINGAL,13,Satheesh Kumar,IND,0,10th Pass,38,"Rs 9,18,440 ~ 9 Lacs+","Rs 1,75,000 ~ 1 Lacs+",No
2019,KERALA,ATTINGAL,14,Shailaja,IND,0,10th Pass,34,"Rs 1,25,190 ~ 1 Lacs+",Rs 0 ~,No
2019,KERALA,ATTINGAL,15,Sobha Surendran,BJP,40,Graduate,45,Not Available,Not Available,No
2019,KERALA,ATTINGAL,16,Sunil Soman,IND,0,10th Pass,49,"Rs 14,110 ~ 14 Thou+",Rs 0 ~,No
2019,KERALA,ATTINGAL,17,Vipinlal Palode,BSP,1,Post Graduate,30,"Rs 5,04,936 ~ 5 Lacs+","Rs 6,23,334 ~ 6 Lacs+",No
2019,KERALA,ATTINGAL,18,Vivekanandhan,IND,0,8th Pass,71,Not Available,Not Available,No
