Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,KERALA,VADAKARA,6,K. Muraleedharan,INC,3,Graduate,62,Not Available,Not Available,Yes
2019,KERALA,VADAKARA,1,Aluva Aneesh,IND,0,8th Pass,38,"Rs 51,68,226 ~ 51 Lacs+","Rs 7,50,000 ~ 7 Lacs+",No
2019,KERALA,VADAKARA,2,C.O.T. Naseer,IND,3,12th Pass,37,"Rs 71,346 ~ 71 Thou+","Rs 2,20,554 ~ 2 Lacs+",No
2019,KERALA,VADAKARA,3,Jatheesh A P,National Labour Party,0,8th Pass,43,Not Available,Not Available,No
2019,KERALA,VADAKARA,4,Jayarajan Pandaraparambil,IND,0,8th Pass,65,"Rs 1,27,686 ~ 1 Lacs+",Rs 0 ~,No
2019,KERALA,VADAKARA,5,Jayarajan.P,CPI(M),10,10th Pass,66,"Rs 90,72,440 ~ 90 Lacs+","Rs 6,20,213 ~ 6 Lacs+",No
2019,KERALA,VADAKARA,7,K.Sudhakaran,CPI(ML) Red Star,0,Graduate Professional,64,"Rs 11,00,158 ~ 11 Lacs+",Rs 0 ~,No
2019,KERALA,VADAKARA,8,Muraleedharan.K Kuttiyil Veedu,IND,0,12th Pass,50,"Rs 1,08,07,704 ~ 1 Crore+","Rs 18,00,000 ~ 18 Lacs+",No
2019,KERALA,VADAKARA,9,Muraleedharan.K Sandram,IND,0,10th Pass,49,Not Available,Not Available,No
2019,KERALA,VADAKARA,10,Musthafa Kommeri,SDPI,0,Graduate,37,"Rs 12,55,522 ~ 12 Lacs+",Rs 0 ~,No
2019,KERALA,VADAKARA,11,Sajeevan V. K,BJP,2,Graduate Professional,43,"Rs 35,30,403 ~ 35 Lacs+","Rs 17,54,758 ~ 17 Lacs+",No
2019,KERALA,VADAKARA,12,Santosh Kumar,IND,0,8th Pass,52,Not Available,Not Available,No
