Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,KERALA,WAYANAD,13,Rahul Gandhi,INC,5,Post Graduate,48,"Rs 15,88,77,063 ~ 15 Crore+","Rs 72,01,904 ~ 72 Lacs+",Yes
2019,KERALA,WAYANAD,1,Adv. Sreejith P R,IND,1,Graduate Professional,33,Rs 120 ~ 1 Hund+,"Rs 4,76,158 ~ 4 Lacs+",No
2019,KERALA,WAYANAD,2,Babu Mani,SDPI,1,10th Pass,52,"Rs 19,24,402 ~ 19 Lacs+","Rs 5,77,000 ~ 5 Lacs+",No
2019,KERALA,WAYANAD,3,Biju Kakkathode,IND,0,12th Pass,28,Not Available,Not Available,No
2019,KERALA,WAYANAD,4,Dr. K Padmarajan,IND,0,Post Graduate,60,"Rs 15,11,000 ~ 15 Lacs+",Rs 0 ~,No
2019,KERALA,WAYANAD,5,John P P,Secular Democratic Congress,0,Graduate,54,"Rs 1,74,42,823 ~ 1 Crore+","Rs 5,00,000 ~ 5 Lacs+",No
2019,KERALA,WAYANAD,6,K M Sivaprasad Gandhi,Indian Gandhiyan Party,0,Post Graduate,40,Not Available,Not Available,No
2019,KERALA,WAYANAD,7,Mohamed P K,BSP,0,Graduate,67,"Rs 35,86,455 ~ 35 Lacs+",Rs 0 ~,No
2019,KERALA,WAYANAD,8,Mujeeb Rahman,IND,0,10th Pass,35,"Rs 4,37,890 ~ 4 Lacs+",Rs 0 ~,No
2019,KERALA,WAYANAD,9,Narukara Gopi,IND,7,12th Pass,55,Not Available,Not Available,No
2019,KERALA,WAYANAD,10,P.P. Suneer,CPI,0,Post Graduate,50,"Rs 1,38,15,960 ~ 1 Crore+",Rs 0 ~,No
2019,KERALA,WAYANAD,11,Praveen K P,IND,1,Post Graduate,34,"Rs 89,09,412 ~ 89 Lacs+","Rs 26,65,000 ~ 26 Lacs+",No
2019,KERALA,WAYANAD,12,Raghul Gandhi K S/O Krishnan P,Agila India Makkal Kazhagam,0,10th Pass,30,Not Available,Not Available,No
2019,KERALA,WAYANAD,14,Rahul Gandhi K E S/O Valsamma,IND,0,Post Graduate,33,"Rs 5,515 ~ 5 Thou+",Rs 0 ~,No
2019,KERALA,WAYANAD,15,Sebastian Wayanad,IND,0,8th Pass,50,Not Available,Not Available,No
2019,KERALA,WAYANAD,16,Shijo M Varghese,IND,0,12th Pass,34,"Rs 64,91,083 ~ 64 Lacs+","Rs 3,92,797 ~ 3 Lacs+",No
2019,KERALA,WAYANAD,17,Siby Vayalil,IND,0,12th Pass,48,"Rs 56,56,330 ~ 56 Lacs+","Rs 56,34,268 ~ 56 Lacs+",No
2019,KERALA,WAYANAD,18,Thrissur Nazeer,IND,0,10th Pass,52,Not Available,Not Available,No
2019,KERALA,WAYANAD,19,Usha K,CPI(ML) Red Star,0,Literate,43,"Rs 7,93,888 ~ 7 Lacs+","Rs 83,000 ~ 83 Thou+",No
