Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,15,Poonam Vajendla Rao,BJP,2,Others,38,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9964
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,1,Abdul Rehman Anjaria,Vanchit Bahujan Aaghadi,0,Doctorate,46,"Rs 10,00,402 ~ 10 Lacs+","Rs 17,09,730 ~ 17 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9969
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,2,Akshay Kachru Sanap,IND,0,12th Pass,27,"Rs 1,71,000 ~ 1 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9966
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,3,Ankush Ramchandra Karande,IND,0,5th Pass,60,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10989
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,4,Dutt Priya Sunil,INC,0,Graduate,52,"Rs 96,20,96,603 ~ 96 Crore+","Rs 3,60,57,947 ~ 3 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9968
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,5,Feroz Abdurrahim Shaikh,Jan Adhikar Party,0,Post Graduate,46,"Rs 98,78,738 ~ 98 Lacs+","Rs 2,36,327 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9962
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,6,Imran Mustafa Khan,BSP,0,Graduate,39,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10985
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,7,Joy Nagesh Bhosale,IND,0,12th Pass,49,"Rs 87,61,000 ~ 87 Lacs+","Rs 8,00,000 ~ 8 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10990
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,8,Mehendi Iqbal Hasan Sayyed,Ambedkar National Congress,0,8th Pass,33,"Rs 5,31,200 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9970
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,9,Milind Kamble,Bharat Jan Aadhar Party,0,Graduate,35,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9963
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,10,Mohammad Mehmood Syed Shah,All India Minorities Front,0,12th Pass,47,"Rs 11,50,550 ~ 11 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10991
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,11,Mohd. Yahiya Siddique,IND,0,5th Pass,36,"Rs 37,364 ~ 37 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9965
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,12,Mohommad Mobin Shaikh,Peace Party,0,10th Pass,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10987
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,13,Nooruddin Aftab Azimuddin Sayyed,IND,1,8th Pass,48,"Rs 8,99,830 ~ 8 Lacs+","Rs 2,60,300 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11624
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,14,Pandey Harshvardhan Ramsuresh,IND,0,Graduate,29,"Rs 85,11,000 ~ 85 Lacs+","Rs 54,29,000 ~ 54 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10992
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,16,Rajesh Bhavsar,Bhartiya Manavadhikaar Federal Party,5,12th Pass,52,"Rs 69,417 ~ 69 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10986
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,17,Sagar Nivrutti Kale,IND,0,Graduate,27,"Rs 1,500 ~ 1 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10993
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,18,Sundar Baburao Padmuk,IND,0,Graduate Professional,49,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10994
2019,MAHARASHTRA,MUMBAI_NORTH_CENTRAL,19,Vansh Bahadur Yadav,IND,0,Graduate Professional,54,"Rs 1,13,19,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10995
