Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,8,Gajanan Chandrakant Kirtikar,SHS,0,Graduate,75,"Rs 10,53,92,000 ~ 10 Crore+","Rs 40,32,000 ~ 40 Lacs+",Yes
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,1,Abusalim Arunhuq Shank,Rashtriya Ulama Council,0,10th Pass,48,"Rs 2,64,600 ~ 2 Lacs+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,2,Aftab Mashwood Khan,IND,0,8th Pass,43,"Rs 80,62,800 ~ 80 Lacs+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,3,Ajay Dubey,Jan Adhikar Party,0,Post Graduate,29,Not Available,Not Available,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,4,Arora Surinder Mohan,Bharat Jan Aadhar Party,0,Graduate,64,"Rs 33,66,82,905 ~ 33 Crore+","Rs 2,12,666 ~ 2 Lacs+",No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,5,Chandrashekhar Sharma,Bhartiya Manavadhikaar Federal Party,1,Others,42,"Rs 94,03,436 ~ 94 Lacs+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,6,Chhaya Sunil Tiwari,Janata Congress,0,8th Pass,41,Not Available,Not Available,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,7,Dharmendra Shriram Pal,Rashtravadi Kranti Dal,0,10th Pass,42,"Rs 4,85,000 ~ 4 Lacs+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,9,Harishankar Yadav,Aapki Apni Party (Peoples),0,10th Pass,48,Not Available,Not Available,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,10,Madan Banwarilal Agrawal,IND,0,Graduate,55,"Rs 6,18,31,318 ~ 6 Crore+","Rs 3,20,00,000 ~ 3 Crore+",No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,11,Mitesh Varshney,IND,1,Post Graduate,27,"Rs 1,86,373 ~ 1 Lacs+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,12,Prabhakar Tarapado Sadhu,IND,0,8th Pass,47,Not Available,Not Available,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,13,Sanjay Nirupam,INC,11,Graduate,54,"Rs 12,20,93,505 ~ 12 Crore+","Rs 83,99,569 ~ 83 Lacs+",No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,14,Sanjay Vishwanath Sakpal,IND,0,Graduate,48,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,15,Shakuntala Kushalkar,Prabuddha Republican Party,0,Illiterate,47,Not Available,Not Available,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,16,Shashikant Kundlik Kadam,IND,1,Graduate Professional,46,"Rs 1,89,52,783 ~ 1 Crore+","Rs 3,00,000 ~ 3 Lacs+",No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,17,Sonkamble Gajanan Tukaram,IND,0,Graduate,33,"Rs 1,41,658 ~ 1 Lacs+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,18,Subhash Passi,SP,1,12th Pass,57,Not Available,Not Available,No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,19,Suresh Sundar Shetty,Vanchit Bahujan Aaghadi,0,8th Pass,46,"Rs 9,54,52,500 ~ 9 Crore+","Rs 43,42,000 ~ 43 Lacs+",No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,20,Vijay Marothi Koyale,Rashtriya Maratha Party,0,8th Pass,49,"Rs 65,25,000 ~ 65 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No
2019,MAHARASHTRA,MUMBAI_NORTH_WEST,21,Vijendra Kumar Rai,IND,1,Post Graduate,37,Not Available,Not Available,No
