Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,MAHARASHTRA,MUMBAI_SOUTH,3,Arvind Sawant,SHS,1,Graduate,67,Not Available,Not Available,Yes
2019,MAHARASHTRA,MUMBAI_SOUTH,1,Abbas Chhatriwala,Jan Adhikar Party,0,10th Pass,43,"Rs 50,40,147 ~ 50 Lacs+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_SOUTH,2,Adv. Sahil Shah,Bhartiya Manavadhikaar Federal Party,0,Graduate Professional,27,"Rs 7,62,030 ~ 7 Lacs+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_SOUTH,4,Deora Milind,INC,0,Graduate,43,"Rs 79,32,00,422 ~ 79 Crore+","Rs 4,96,81,435 ~ 4 Crore+",No
2019,MAHARASHTRA,MUMBAI_SOUTH,5,Dr. Anil Kumar Choudhari,Vanchit Bahujan Aaghadi,0,Others,68,"Rs 10,11,00,914 ~ 10 Crore+","Rs 9,92,020 ~ 9 Lacs+",No
2019,MAHARASHTRA,MUMBAI_SOUTH,6,Hamir Vinjuda,Bahujan Republican Socialist Party,0,10th Pass,65,Not Available,Not Available,No
2019,MAHARASHTRA,MUMBAI_SOUTH,7,Irfan Ahmed Shaikh,Ambedkarite Party of India,0,Graduate,65,"Rs 54,000 ~ 54 Thou+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_SOUTH,8,Rajesh .B. Dayal,IND,0,12th Pass,42,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_SOUTH,9,Ramchandra Kachave,Kranti Kari Jai Hind Sena,1,Graduate Professional,50,Not Available,Not Available,No
2019,MAHARASHTRA,MUMBAI_SOUTH,10,Sai Shrivastav,IND,0,Graduate Professional,29,"Rs 9,66,367 ~ 9 Lacs+",Rs 0 ~,No
2019,MAHARASHTRA,MUMBAI_SOUTH,11,Shankar Sonawane,IND,0,10th Pass,51,"Rs 58,20,000 ~ 58 Lacs+","Rs 2,80,000 ~ 2 Lacs+",No
2019,MAHARASHTRA,MUMBAI_SOUTH,12,Shehbaj Rathod,Jai Maha Bharath Party,1,5th Pass,48,Not Available,Not Available,No
2019,MAHARASHTRA,MUMBAI_SOUTH,13,Suresh Kumar Gautam,BSP,0,10th Pass,47,"Rs 20,56,000 ~ 20 Lacs+","Rs 21,52,400 ~ 21 Lacs+",No
