Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,MAHARASHTRA,SHIRDI,13,Sadashiv Kisan Lokhande,SHS,1,10th Pass,57,"Rs 11,37,10,526 ~ 11 Crore+","Rs 2,05,100 ~ 2 Lacs+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10023
2019,MAHARASHTRA,SHIRDI,1,Adv. Amolik Govind Baburao,IND,0,Graduate Professional,67,"Rs 24,19,200 ~ 24 Lacs+","Rs 4,00,000 ~ 4 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11130
2019,MAHARASHTRA,SHIRDI,2,Ashok Anaji Wakchaure,IND,6,Post Graduate,50,"Rs 60,06,000 ~ 60 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11131
2019,MAHARASHTRA,SHIRDI,3,Ashok Jagdish Jadhav,Rashtriya Maratha Party,0,Graduate,56,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10028
2019,MAHARASHTRA,SHIRDI,4,Bansi Bhaurao Satpute,CPI,1,Graduate Professional,58,"Rs 1,36,05,985 ~ 1 Crore+","Rs 16,22,993 ~ 16 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10027
2019,MAHARASHTRA,SHIRDI,5,Bapu Paraji Randhir,IND,0,Graduate,53,"Rs 61,85,000 ~ 61 Lacs+","Rs 2,70,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11134
2019,MAHARASHTRA,SHIRDI,6,Borage Shankar Haribhau,IND,0,Graduate,50,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11135
2019,MAHARASHTRA,SHIRDI,7,Ganpat Machindra More,IND,0,Graduate,51,"Rs 20,99,072 ~ 20 Lacs+","Rs 45,000 ~ 45 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10025
2019,MAHARASHTRA,SHIRDI,8,Kamble Bhausaheb Malhari,INC,1,Others,64,"Rs 2,64,19,995 ~ 2 Crore+","Rs 19,35,504 ~ 19 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10020
2019,MAHARASHTRA,SHIRDI,9,Kishor Limbaji Rokade,IND,0,12th Pass,38,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11132
2019,MAHARASHTRA,SHIRDI,10,Pradip Sunil Sarode,IND,9,12th Pass,32,"Rs 1,13,801 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11133
2019,MAHARASHTRA,SHIRDI,11,Prakash Kacharu Aaher,Bahujan Republican Socialist Party,1,Post Graduate,55,"Rs 72,58,501 ~ 72 Lacs+","Rs 85,000 ~ 85 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10022
2019,MAHARASHTRA,SHIRDI,12,Sachin Sadashiv Gawande,IND,0,Graduate,27,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11139
2019,MAHARASHTRA,SHIRDI,14,Sampat Khandu Samindar,IND,0,Graduate,66,"Rs 21,68,164 ~ 21 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11138
2019,MAHARASHTRA,SHIRDI,15,Sanjay Laxman Sukhdan,Vanchit Bahujan Aaghadi,2,Graduate,39,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11129
2019,MAHARASHTRA,SHIRDI,16,Subhash Dada Tribhuwan,IND,1,5th Pass,45,"Rs 29,27,000 ~ 29 Lacs+","Rs 22,20,000 ~ 22 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11137
2019,MAHARASHTRA,SHIRDI,17,Suresh Eknath Jagdhane,BSP,0,Others,58,"Rs 1,62,77,083 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10024
2019,MAHARASHTRA,SHIRDI,18,Vijay Dnyanoba Ghate,Republican Bahujan Sena,2,8th Pass,50,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10029
2019,MAHARASHTRA,SHIRDI,19,Wakchaure Bhausaheb Jayram,IND,0,Literate,51,"Rs 29,57,808 ~ 29 Lacs+","Rs 2,89,450 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11257
2019,MAHARASHTRA,SHIRDI,20,Wakchaure Bhausaheb Rajaram,IND,0,Graduate Professional,69,"Rs 8,94,93,665 ~ 8 Crore+","Rs 61,41,795 ~ 61 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11136
