Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,MAHARASHTRA,SOLAPUR,12,Shri. Sha. Bra. Dr. Jay Siddeshwar Shivachrya Mahaswamiji,BJP,0,Graduate,63,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5498
2019,MAHARASHTRA,SOLAPUR,1,Ad. Karande Manisha Manohar,IND,0,Graduate Professional,37,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6606
2019,MAHARASHTRA,SOLAPUR,2,Ad. Vikram Uttam Kasabe,IND,0,Post Graduate,43,"Rs 99,924 ~ 99 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5495
2019,MAHARASHTRA,SOLAPUR,3,Prof. Dr. Ohal Arjun Gena,Bahujan Mukti Party,0,Doctorate,52,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6603
2019,MAHARASHTRA,SOLAPUR,4,Shri Ambedkar Prakash Yashwant,Vanchit Bahujan Aaghadi,0,Graduate Professional,64,"Rs 5,87,22,916 ~ 5 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5198
2019,MAHARASHTRA,SOLAPUR,5,Shri Ashok Bhagavan Ughade,IND,0,8th Pass,65,"Rs 3,93,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5496
2019,MAHARASHTRA,SOLAPUR,6,Shri Bhise Krishna Nagnath,Bahujan Maha Party,0,12th Pass,34,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6598
2019,MAHARASHTRA,SOLAPUR,7,Shri Gaydhankar Vishnu Shidram,Bharatiya Praja Surajya Paksha,0,Graduate,34,"Rs 56,100 ~ 56 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6593
2019,MAHARASHTRA,SOLAPUR,8,Shri Khandare Sudarshan Raychand,IND,0,12th Pass,33,"Rs 21,14,000 ~ 21 Lacs+","Rs 20,000 ~ 20 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6597
2019,MAHARASHTRA,SOLAPUR,9,Shri Maske Shrimant Murlidhar,IND,0,8th Pass,49,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6604
2019,MAHARASHTRA,SOLAPUR,10,Shri Patole Malhari Gulab,IND,0,10th Pass,70,"Rs 3,73,280 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6595
2019,MAHARASHTRA,SOLAPUR,11,Shri Shinde Sushilkumar Sambhajirao,INC,0,Graduate Professional,77,"Rs 38,03,58,711 ~ 38 Crore+","Rs 47,50,000 ~ 47 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5177
2019,MAHARASHTRA,SOLAPUR,13,Shrivenkateswar Maha Swamiji (Katakdhond. D. G.),Hindustan Janta Party,0,Graduate,31,Rs 9 ~,"Rs 45,000 ~ 45 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4973
