Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,MAHARASHTRA,YAVATMAL_WASHIM,3,Bhavana Pundlikrao Gawali,SHS,3,Graduate,46,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5748
2019,MAHARASHTRA,YAVATMAL_WASHIM,1,Anil Jayram Rathod,IND,0,Post Graduate,43,"Rs 48,90,000 ~ 48 Lacs+","Rs 10,20,000 ~ 10 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4922
2019,MAHARASHTRA,YAVATMAL_WASHIM,2,Ankit Mohan Chandak,IND,0,Graduate Professional,27,"Rs 2,99,63,000 ~ 2 Crore+","Rs 5,80,000 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4600
2019,MAHARASHTRA,YAVATMAL_WASHIM,4,Dr. Rajiv Agrawal,IND,0,Graduate,54,"Rs 87,62,000 ~ 87 Lacs+","Rs 14,00,000 ~ 14 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5759
2019,MAHARASHTRA,YAVATMAL_WASHIM,5,Naresh Mahadev Ghughane,IND,0,8th Pass,42,"Rs 7,25,000 ~ 7 Lacs+","Rs 4,00,000 ~ 4 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5749
2019,MAHARASHTRA,YAVATMAL_WASHIM,6,Noorali Maheboob Ali Shah,IND,0,10th Pass,55,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5763
2019,MAHARASHTRA,YAVATMAL_WASHIM,7,Parashram Bhaosing Ade,IND,0,Post Graduate,64,"Rs 18,73,01,769 ~ 18 Crore+","Rs 4,17,919 ~ 4 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6116
2019,MAHARASHTRA,YAVATMAL_WASHIM,8,Pawar Ramesh Gorsing,IND,0,12th Pass,64,"Rs 40,000 ~ 40 Thou+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4598
2019,MAHARASHTRA,YAVATMAL_WASHIM,9,Pravin Govind Pawar,Vanchit Bahujan Aaghadi,0,Graduate Professional,37,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5755
2019,MAHARASHTRA,YAVATMAL_WASHIM,10,Premasai Maharaj,IND,6,5th Pass,28,"Rs 49,00,000 ~ 49 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7241
2019,MAHARASHTRA,YAVATMAL_WASHIM,11,Pundlik Baliram Rathod,Sanman Rajkiya Paksha,0,12th Pass,47,"Rs 1,41,13,000 ~ 1 Crore+","Rs 7,50,000 ~ 7 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5762
2019,MAHARASHTRA,YAVATMAL_WASHIM,12,Purushottam Domaji Bhajghaware,Rashtriya Bahujan Congress Party,0,12th Pass,58,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4925
2019,MAHARASHTRA,YAVATMAL_WASHIM,13,Rajesh Bhauraoji Raut,Gondvana Gantantra Party,0,10th Pass,41,"Rs 2,10,000 ~ 2 Lacs+","Rs 40,000 ~ 40 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5753
2019,MAHARASHTRA,YAVATMAL_WASHIM,14,Ramrao Sawai Pawar,IND,0,10th Pass,47,"Rs 48,10,000 ~ 48 Lacs+","Rs 2,75,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5746
2019,MAHARASHTRA,YAVATMAL_WASHIM,15,Ravi Sampatrao Jadhao,Bahujan Mukti Party,0,Graduate Professional,73,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5761
2019,MAHARASHTRA,YAVATMAL_WASHIM,16,Salim Shah Suleman Shah,IND,6,Literate,49,"Rs 10,10,000 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5757
2019,MAHARASHTRA,YAVATMAL_WASHIM,17,Sameer Arunrao Deshpande,IND,0,Others,87,"Rs 2,64,000 ~ 2 Lacs+","Rs 90,000 ~ 90 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4731
2019,MAHARASHTRA,YAVATMAL_WASHIM,18,Shahejad Samiullah Khan,IND,0,Graduate Professional,35,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4924
2019,MAHARASHTRA,YAVATMAL_WASHIM,19,Shaikh Javed Shaikh Mushtaq,IND,3,8th Pass,43,"Rs 1,14,22,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4923
2019,MAHARASHTRA,YAVATMAL_WASHIM,20,Simpal Rajkumar Rathod,IND,0,Post Graduate,42,"Rs 9,13,631 ~ 9 Lacs+","Rs 2,35,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5750
2019,MAHARASHTRA,YAVATMAL_WASHIM,21,Thakre Manikrao Govindrao,INC,0,12th Pass,64,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5747
2019,MAHARASHTRA,YAVATMAL_WASHIM,22,Uttam Bhagaji Kamble,Prabuddha Republican Party,0,Post Graduate,51,Nil,Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5754
2019,MAHARASHTRA,YAVATMAL_WASHIM,23,Vaishali Sudhakar Yede,Prahar Janshakti Party,0,10th Pass,28,"Rs 11,68,500 ~ 11 Lacs+","Rs 9,000 ~ 9 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5760
