Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,19,Ramesh Bidhuri,BJP,2,Graduate Professional,57,"Rs 18,00,52,708 ~ 18 Crore+","Rs 20,38,454 ~ 20 Lacs+",Yes
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,1,Aditya Kumar Naveen,Hum Bhartiya Party,0,12th Pass,34,"Rs 20,44,023 ~ 20 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,2,Birju Nayak,IND,0,Graduate,44,"Rs 45,89,741 ~ 45 Lacs+","Rs 1,30,000 ~ 1 Lacs+",No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,3,Dalbir Singh Malik,Voters Party International,0,12th Pass,56,Not Available,Not Available,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,4,Deepak Kumar,Aapki Apni Party (Peoples),0,8th Pass,41,"Rs 62,54,000 ~ 62 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,5,Desh Kumar,Akhil Bharatiya Jan Sangh,0,Graduate,56,"Rs 6,11,000 ~ 6 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,6,Dilip Kumar,Sanatan Sanskriti Raksha Dal,0,Graduate,44,Not Available,Not Available,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,7,Dr. Mahender Singh Churiyana,Peoples Party of India (Democratic),0,Post Graduate,61,"Rs 3,20,15,000 ~ 3 Crore+","Rs 11,50,000 ~ 11 Lacs+",No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,8,Dr. Suman Yadav,Jai Maha Bharath Party,0,Doctorate,42,"Rs 2,40,54,066 ~ 2 Crore+","Rs 16,00,000 ~ 16 Lacs+",No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,9,Harsh Nath Verma,IND,0,8th Pass,61,Not Available,Not Available,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,10,Jitendra,PRISM Party,0,Graduate Professional,40,"Rs 43,92,289 ~ 43 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,11,K Roshan Kumar,Pyramid Party of India,0,Others,53,"Rs 32,17,000 ~ 32 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,12,Mathews,Bhartiya Insan Party,0,Graduate,63,Not Available,Not Available,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,13,Mohan Kumar Gupta,Mazdoor Kirayedar Vikas Party,0,Graduate,31,"Rs 19,48,254 ~ 19 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,14,Naise Khan,IND,0,5th Pass,60,"Rs 2,60,500 ~ 2 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,15,Navanit,National Youth Party,2,Post Graduate,40,Not Available,Not Available,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,16,Raghav Chadha,AAP,0,Graduate Professional,30,"Rs 16,47,954 ~ 16 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,17,Rajendra Prasad Gupta,Parivartan Samaj Party,0,Post Graduate,49,"Rs 2,78,181 ~ 2 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,18,Ram Khelawan,"Proutist Bloc, India",0,10th Pass,50,Not Available,Not Available,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,20,Roshan Kumar Choudhary,IND,0,12th Pass,0,"Rs 29,000 ~ 29 Thou+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,21,Sandeep,Rashtriya Jan Adhikar Party,0,8th Pass,36,Not Available,Not Available,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,22,Siddhant Gautam,BSP,0,Post Graduate,52,"Rs 77,97,516 ~ 77 Lacs+","Rs 9,00,000 ~ 9 Lacs+",No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,23,Sobran Singh Chauhan,Rashtriya Rashtrawadi Party,0,Graduate,63,"Rs 56,43,963 ~ 56 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,24,Sumedha Bodh,Jan Samman party,0,Post Graduate,35,Not Available,Not Available,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,25,Sunil Kumar,IND,0,10th Pass,39,"Rs 20,31,247 ~ 20 Lacs+",Rs 0 ~,No
2019,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,26,Vijender,INC,0,Graduate,33,"Rs 12,15,25,000 ~ 12 Crore+","Rs 3,19,67,000 ~ 3 Crore+",No
