Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,PUNJAB,KHADOOR_SAHIB,4,Jasbir Singh Gill,INC,0,Others,48,"Rs 8,13,93,500 ~ 8 Crore+","Rs 46,55,000 ~ 46 Lacs+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13131
2019,PUNJAB,KHADOOR_SAHIB,1,Harjit Kaur,IND,0,10th Pass,31,"Rs 3,20,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13816
2019,PUNJAB,KHADOOR_SAHIB,2,Jagir Kaur,IND,0,Illiterate,48,"Rs 4,65,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13844
2019,PUNJAB,KHADOOR_SAHIB,3,Jagir Kaur,SAD,1,Graduate Professional,65,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13134
2019,PUNJAB,KHADOOR_SAHIB,5,Khajan Singh,Nationalist Justice Party,0,8th Pass,40,"Rs 3,08,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13814
2019,PUNJAB,KHADOOR_SAHIB,6,Manjinder Singh,AAP,2,12th Pass,33,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13135
2019,PUNJAB,KHADOOR_SAHIB,7,Mohan Singh,IND,0,10th Pass,29,"Rs 15,16,000 ~ 15 Lacs+","Rs 1,80,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13544
2019,PUNJAB,KHADOOR_SAHIB,8,Onkar Singh,IND,0,8th Pass,30,"Rs 19,30,000 ~ 19 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13535
2019,PUNJAB,KHADOOR_SAHIB,9,Paramjit Kaur,IND,0,Illiterate,42,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13943
2019,PUNJAB,KHADOOR_SAHIB,10,Paramjit Kaur Khalra,Punjab Ekta Party,0,Post Graduate,65,"Rs 1,13,10,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13133
2019,PUNJAB,KHADOOR_SAHIB,11,Paramjit Singh,IND,0,5th Pass,37,"Rs 4,10,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13534
2019,PUNJAB,KHADOOR_SAHIB,12,Parminder Singh,IND,1,12th Pass,38,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13537
2019,PUNJAB,KHADOOR_SAHIB,13,Parwinder Singh,Democratic Party of India (Ambedkar),0,12th Pass,32,"Rs 9,85,050 ~ 9 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13813
2019,PUNJAB,KHADOOR_SAHIB,14,Puran Singh,Bahujan Samaj Party (Ambedkar),0,Illiterate,64,"Rs 6,48,520 ~ 6 Lacs+","Rs 48,560 ~ 48 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13539
2019,PUNJAB,KHADOOR_SAHIB,15,Santokh Singh,Hindustan Shakti Sena,3,10th Pass,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13815
2019,PUNJAB,KHADOOR_SAHIB,16,Stephen Bhatti,SHS,0,12th Pass,36,"Rs 1,23,000 ~ 1 Lacs+","Rs 15,000 ~ 15 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13536
2019,PUNJAB,KHADOOR_SAHIB,17,Sukhwant Singh,IND,0,10th Pass,57,"Rs 16,96,000 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13540
2019,PUNJAB,KHADOOR_SAHIB,18,Surjit Singh,IND,1,12th Pass,40,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13542
