Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,RAJASTHAN,DAUSA,6,Jaskaur Meena,BJP,0,Post Graduate,71,Not Available,Not Available,Yes
2019,RAJASTHAN,DAUSA,1,Anju Devi Dhanka,IND,0,Graduate,42,"Rs 71,55,513 ~ 71 Lacs+","Rs 24,50,000 ~ 24 Lacs+",No
2019,RAJASTHAN,DAUSA,2,Bharti Meena,IND,1,12th Pass,30,"Rs 33,71,000 ~ 33 Lacs+","Rs 6,50,000 ~ 6 Lacs+",No
2019,RAJASTHAN,DAUSA,3,Bimla Devi Meena,IND,0,Graduate,61,Not Available,Not Available,No
2019,RAJASTHAN,DAUSA,4,Chandra Prakash Meena,Nationalist Peoples Front,0,Graduate,26,"Rs 6,00,000 ~ 6 Lacs+",Rs 0 ~,No
2019,RAJASTHAN,DAUSA,5,Dwarka Prasad,BSP,0,Post Graduate,36,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,No
2019,RAJASTHAN,DAUSA,7,Maliram Nayaka,IND,0,10th Pass,70,"Rs 40,20,000 ~ 40 Lacs+",Rs 0 ~,No
2019,RAJASTHAN,DAUSA,8,Radhey Shyam Meena,IND,0,Literate,50,"Rs 1,89,85,200 ~ 1 Crore+","Rs 90,00,000 ~ 90 Lacs+",No
2019,RAJASTHAN,DAUSA,9,Ramphool Meena,Ambedkarite Party of India,0,10th Pass,63,Not Available,Not Available,No
2019,RAJASTHAN,DAUSA,10,Rinku Kumar Meena,Peoples Party of India (Democratic),0,Graduate Professional,32,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,No
2019,RAJASTHAN,DAUSA,11,Savita Meena,INC,0,12th Pass,54,"Rs 11,11,23,791 ~ 11 Crore+","Rs 14,32,480 ~ 14 Lacs+",No
