Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,RAJASTHAN,JHUNJHUNU,10,Narendra Kumar,BJP,1,Graduate,58,"Rs 4,74,74,109 ~ 4 Crore+","Rs 32,78,401 ~ 32 Lacs+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11748
2019,RAJASTHAN,JHUNJHUNU,1,Ajay Pal,Bahujan Mukti Party,0,Post Graduate,34,"Rs 3,75,915 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11751
2019,RAJASTHAN,JHUNJHUNU,2,Bal Dev Prasad Saini,IND,0,8th Pass,33,"Rs 8,20,000 ~ 8 Lacs+","Rs 22,000 ~ 22 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11562
2019,RAJASTHAN,JHUNJHUNU,3,Bhim Singh,IND,0,Literate,67,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11750
2019,RAJASTHAN,JHUNJHUNU,4,Dr. Tejpal,Right to Recall Party,0,Graduate Professional,31,"Rs 6,33,189 ~ 6 Lacs+","Rs 5,92,936 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11563
2019,RAJASTHAN,JHUNJHUNU,5,Guru Gokulchand Rashtarwadi,IND,0,12th Pass,66,Nil,Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11233
2019,RAJASTHAN,JHUNJHUNU,6,Kailash Karwasara,IND,0,10th Pass,29,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11749
2019,RAJASTHAN,JHUNJHUNU,7,Krishan Kumar,Rashtriya Mangalam Party,0,5th Pass,44,"Rs 25,34,657 ~ 25 Lacs+","Rs 4,80,000 ~ 4 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11753
2019,RAJASTHAN,JHUNJHUNU,8,Mahant Akash Giri,IND,0,Literate,37,"Rs 57,000 ~ 57 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11234
2019,RAJASTHAN,JHUNJHUNU,9,Mohd. Yunus,IND,0,Graduate,38,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11236
2019,RAJASTHAN,JHUNJHUNU,11,Sharwan Kumar,INC,0,10th Pass,64,"Rs 78,85,036 ~ 78 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11232
2019,RAJASTHAN,JHUNJHUNU,12,Sharwan Kumar S/O Hukma Ram,IND,0,10th Pass,47,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12585
