Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,RAJASTHAN,KOTA,8,Om Birla,BJP,1,Post Graduate,56,"Rs 4,83,47,737 ~ 4 Crore+",Rs 0 ~,Yes
2019,RAJASTHAN,KOTA,1,Abdul Asiph,IND,0,8th Pass,27,"Rs 1,63,000 ~ 1 Lacs+",Rs 0 ~,No
2019,RAJASTHAN,KOTA,2,Bhim Singh,SHS,0,12th Pass,52,"Rs 54,84,000 ~ 54 Lacs+",Rs 0 ~,No
2019,RAJASTHAN,KOTA,3,Chandra Prakash,Rashtriya Krantikari Samajwadi Party,0,8th Pass,50,Not Available,Not Available,No
2019,RAJASTHAN,KOTA,4,Harish Kumar,BSP,0,Graduate,66,"Rs 1,20,80,000 ~ 1 Crore+","Rs 6,00,000 ~ 6 Lacs+",No
2019,RAJASTHAN,KOTA,5,Hergovind,IND,0,Post Graduate,31,"Rs 7,19,324 ~ 7 Lacs+",Rs 0 ~,No
2019,RAJASTHAN,KOTA,6,Keshri Lal,IND,0,5th Pass,73,Not Available,Not Available,No
2019,RAJASTHAN,KOTA,7,Mahesh Kumar Raniwal,AARAKSHAN VIRODHI PARTY,0,8th Pass,46,"Rs 6,72,937 ~ 6 Lacs+",Rs 0 ~,No
2019,RAJASTHAN,KOTA,9,Praveen Khandelwal,IND,0,Others,42,Not Available,Not Available,No
2019,RAJASTHAN,KOTA,10,Rajendra Prasad Singor,Marxist Communist Party of India (United),1,8th Pass,59,"Rs 1,85,610 ~ 1 Lacs+",Rs 0 ~,No
2019,RAJASTHAN,KOTA,11,Ram Narain,INC,0,Graduate Professional,75,"Rs 8,01,57,459 ~ 8 Crore+","Rs 1,31,37,155 ~ 1 Crore+",No
2019,RAJASTHAN,KOTA,12,Satish Bhardwaj,IND,1,8th Pass,37,Not Available,Not Available,No
2019,RAJASTHAN,KOTA,13,Shobha Ram Nirmal,Proutist Sarva Samaj,0,Graduate,71,"Rs 1,06,75,304 ~ 1 Crore+",Rs 0 ~,No
2019,RAJASTHAN,KOTA,14,Somesh Bhatnagar,Bhartiya Kisan Party,1,Others,48,"Rs 8,42,832 ~ 8 Lacs+","Rs 5,38,589 ~ 5 Lacs+",No
2019,RAJASTHAN,KOTA,15,Sunil,IND,0,12th Pass,52,Not Available,Not Available,No
