Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,TAMIL NADU,CHENNAI_CENTRAL,2,Dayanidhi Maran,DMK,1,Graduate,52,"Rs 11,67,90,616 ~ 11 Crore+",Rs 0 ~,Yes
2019,TAMIL NADU,CHENNAI_CENTRAL,1,Chandranathan S,IND,0,Graduate,27,"Rs 69,289 ~ 69 Thou+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,3,Dinakaran G,IND,0,Post Graduate,29,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,4,Govindraj L,IND,0,Graduate Professional,39,"Rs 70,15,000 ~ 70 Lacs+","Rs 53,00,000 ~ 53 Lacs+",No
2019,TAMIL NADU,CHENNAI_CENTRAL,5,Gunasekar N,IND,1,10th Pass,29,"Rs 1,75,000 ~ 1 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,6,Jitendra Kumar Jain,RPI,0,Graduate,41,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,7,Kameela Nasser,Makkal Needhi Maiam,0,Post Graduate,54,"Rs 7,19,05,468 ~ 7 Crore+","Rs 94,90,525 ~ 94 Lacs+",No
2019,TAMIL NADU,CHENNAI_CENTRAL,8,Karnan C S,Anti Corruption Dynamic Party,0,Graduate,63,"Rs 1,07,50,000 ~ 1 Crore+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,9,Karthikeyan R,Naam Tamilar Katchi,0,Post Graduate,31,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,10,Kuppusamy K,IND,0,5th Pass,46,"Rs 37,000 ~ 37 Thou+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,11,M Parthasarathi,BSP,0,12th Pass,49,"Rs 21,000 ~ 21 Thou+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,12,Madhanagopal T,IND,0,Graduate Professional,41,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,13,Najimunnissa,Anaithu Makkal Katchi,0,8th Pass,48,"Rs 10,40,000 ~ 10 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,14,Nasar K,IND,0,10th Pass,35,"Rs 1,92,000 ~ 1 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,15,Prabakaran N,IND,0,Graduate Professional,27,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,16,Prabhakaran K M,IND,0,5th Pass,57,"Rs 1,35,000 ~ 1 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,17,Pushparaj J L,IND,0,Literate,28,"Rs 1,49,000 ~ 1 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,18,Raghavan M,IND,0,10th Pass,62,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,19,Raj Ramchand,IND,0,Graduate,51,"Rs 1,12,87,869 ~ 1 Crore+","Rs 2,17,873 ~ 2 Lacs+",No
2019,TAMIL NADU,CHENNAI_CENTRAL,20,Ravichandran M,IND,0,Post Graduate,55,"Rs 1,72,90,000 ~ 1 Crore+","Rs 1,25,79,000 ~ 1 Crore+",No
2019,TAMIL NADU,CHENNAI_CENTRAL,21,Sam Paul S R,Pattali Makkal Katchi,0,Post Graduate,41,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,22,Sampaul,IND,0,Post Graduate,28,"Rs 54,500 ~ 54 Thou+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,23,Samuel Paul P,IND,0,Post Graduate,29,"Rs 3,50,808 ~ 3 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,24,Sasikumar,Tamil Nadu Ilangyar Katchi,2,Others,36,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,25,Sheik Mohamed K,SDPI,3,Others,48,"Rs 22,74,313 ~ 22 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,26,Suresh Babu D,Desiya Makkal Sakthi Katchi,0,Post Graduate,43,"Rs 2,89,20,971 ~ 2 Crore+","Rs 80,62,407 ~ 80 Lacs+",No
2019,TAMIL NADU,CHENNAI_CENTRAL,27,Tamilarasan V V,IND,0,Graduate,33,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,28,V R Geethalakshmi,Pyramid Party of India,0,12th Pass,51,"Rs 6,50,000 ~ 6 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,29,V Radhakrishnan,IND,0,Graduate,47,"Rs 5,16,29,805 ~ 5 Crore+",Rs 0 ~,No
2019,TAMIL NADU,CHENNAI_CENTRAL,30,Vaithiyanathan R,IND,0,Post Graduate,39,Not Available,Not Available,No
2019,TAMIL NADU,CHENNAI_CENTRAL,31,Valarmathi K,Akila India Vallalar Peravai,0,Others,46,"Rs 22,80,000 ~ 22 Lacs+",Rs 0 ~,No
