Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,TAMIL NADU,KALLAKURICHI,4,Gautham Sigamani Pon,DMK,1,Post Graduate,44,"Rs 47,11,86,830 ~ 47 Crore+","Rs 8,11,31,909 ~ 8 Crore+",Yes
2019,TAMIL NADU,KALLAKURICHI,1,Chandramohan M,Vivasayigal Makkal Munnetra Katchi,0,Others,48,"Rs 10,35,000 ~ 10 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,KALLAKURICHI,2,Chandrasekaran V,IND,0,Graduate,49,"Rs 88,38,575 ~ 88 Lacs+","Rs 10,62,000 ~ 10 Lacs+",No
2019,TAMIL NADU,KALLAKURICHI,3,Ganesh H,Makkal Needhi Maiam,0,12th Pass,40,Not Available,Not Available,No
2019,TAMIL NADU,KALLAKURICHI,5,Govindasamy A,IND,0,8th Pass,54,"Rs 4,60,000 ~ 4 Lacs+","Rs 2,45,500 ~ 2 Lacs+",No
2019,TAMIL NADU,KALLAKURICHI,6,Kannan S,IND,0,5th Pass,42,Not Available,Not Available,No
2019,TAMIL NADU,KALLAKURICHI,7,Komugi Maniyan M,IND,0,Graduate Professional,69,"Rs 1,04,87,161 ~ 1 Crore+","Rs 4,00,000 ~ 4 Lacs+",No
2019,TAMIL NADU,KALLAKURICHI,8,Kumar K R,IND,0,8th Pass,43,"Rs 30,67,000 ~ 30 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,KALLAKURICHI,9,Manikandan C,IND,0,12th Pass,36,Not Available,Not Available,No
2019,TAMIL NADU,KALLAKURICHI,10,Mannan M P,IND,0,Post Graduate,58,"Rs 13,16,969 ~ 13 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,KALLAKURICHI,11,Mayilamparai Mari A,IND,0,Illiterate,42,"Rs 18,00,000 ~ 18 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,KALLAKURICHI,12,Nagarajan S,IND,0,Post Graduate,26,Not Available,Not Available,No
2019,TAMIL NADU,KALLAKURICHI,13,Prabhu A,IND,0,10th Pass,38,"Rs 3,40,000 ~ 3 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,KALLAKURICHI,14,Ramachandran K,IND,0,Illiterate,46,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2019,TAMIL NADU,KALLAKURICHI,15,Ramadoss R,IND,0,10th Pass,40,Not Available,Not Available,No
2019,TAMIL NADU,KALLAKURICHI,16,Sakthivel S,BSP,0,Others,55,"Rs 22,36,500 ~ 22 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,KALLAKURICHI,17,Sathees Kumar R,IND,0,12th Pass,40,"Rs 67,45,000 ~ 67 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No
2019,TAMIL NADU,KALLAKURICHI,18,Sathish Kumar G,IND,0,Graduate,30,Not Available,Not Available,No
2019,TAMIL NADU,KALLAKURICHI,19,Siva Kumar P,IND,0,8th Pass,49,"Rs 39,61,000 ~ 39 Lacs+","Rs 81,000 ~ 81 Thou+",No
2019,TAMIL NADU,KALLAKURICHI,20,Sudhish L K,DMDK,5,Graduate,51,"Rs 60,17,47,124 ~ 60 Crore+","Rs 17,52,46,855 ~ 17 Crore+",No
2019,TAMIL NADU,KALLAKURICHI,21,Sumathi B,IND,0,Illiterate,33,Not Available,Not Available,No
