Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,TAMIL NADU,NAMAKKAL,3,Chinraj A.K.P,DMK,0,Graduate,54,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5275
2019,TAMIL NADU,NAMAKKAL,1,Arumugam V,IND,0,10th Pass,51,"Rs 3,09,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7533
2019,TAMIL NADU,NAMAKKAL,2,Baskar B,Naam Tamilar Katchi,0,Doctorate,44,"Rs 1,99,18,500 ~ 1 Crore+","Rs 13,78,00,000 ~ 13 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7549
2019,TAMIL NADU,NAMAKKAL,4,Cho V,IND,0,Graduate,47,"Rs 59,000 ~ 59 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7534
2019,TAMIL NADU,NAMAKKAL,5,Kaliappan P,IND,0,12th Pass,64,"Rs 1,50,93,092 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10148
2019,TAMIL NADU,NAMAKKAL,6,Kaliappan P,AIADMK,0,10th Pass,70,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5277
2019,TAMIL NADU,NAMAKKAL,7,Kaliappan S,IND,0,5th Pass,64,"Rs 18,92,753 ~ 18 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7535
2019,TAMIL NADU,NAMAKKAL,8,Kaliyappan K,IND,0,5th Pass,73,"Rs 36,62,023 ~ 36 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7532
2019,TAMIL NADU,NAMAKKAL,9,Manickam S,Ulzaipali Makkal Katchy,0,5th Pass,51,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7545
2019,TAMIL NADU,NAMAKKAL,10,Muthusamy M.P.,Ganasangam Party of India,0,Post Graduate,63,"Rs 97,33,750 ~ 97 Lacs+","Rs 24,14,000 ~ 24 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5276
2019,TAMIL NADU,NAMAKKAL,11,Natarajan M,IND,0,8th Pass,51,"Rs 1,43,30,000 ~ 1 Crore+","Rs 16,81,105 ~ 16 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5274
2019,TAMIL NADU,NAMAKKAL,12,Prabhu K,IND,0,12th Pass,34,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7536
2019,TAMIL NADU,NAMAKKAL,13,Raman V,BSP,0,5th Pass,45,"Rs 21,000 ~ 21 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7550
2019,TAMIL NADU,NAMAKKAL,14,Ramasamy N,IND,0,Illiterate,51,"Rs 69,300 ~ 69 Thou+","Rs 90,000 ~ 90 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5272
