Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,TAMIL NADU,POLLACHI,5,K Shanmugasundaram,DMK,0,Graduate Professional,49,"Rs 13,31,09,284 ~ 13 Crore+","Rs 1,33,60,639 ~ 1 Crore+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4752
2019,TAMIL NADU,POLLACHI,1,Ansari S,IND,0,Graduate,40,"Rs 1,23,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8455
2019,TAMIL NADU,POLLACHI,2,Balaji G,IND,0,Post Graduate,32,"Rs 87,923 ~ 87 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5294
2019,TAMIL NADU,POLLACHI,3,Ganesha Moorthy A,BSP,0,10th Pass,36,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8452
2019,TAMIL NADU,POLLACHI,4,K Ramasamy,IND,0,10th Pass,69,"Rs 1,01,28,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4749
2019,TAMIL NADU,POLLACHI,6,Mahendran C,AIADMK,0,Post Graduate,47,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5293
2019,TAMIL NADU,POLLACHI,7,Manickavel C,IND,0,10th Pass,43,"Rs 3,66,399 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8458
2019,TAMIL NADU,POLLACHI,8,Mookambika R,Makkal Needhi Maiam,0,Graduate Professional,40,"Rs 9,97,75,631 ~ 9 Crore+","Rs 9,00,000 ~ 9 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8454
2019,TAMIL NADU,POLLACHI,9,Muthukumar C,IND,0,10th Pass,46,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8459
2019,TAMIL NADU,POLLACHI,10,Muthukumar S,IND,0,Graduate,49,"Rs 15,11,16,580 ~ 15 Crore+","Rs 83,89,361 ~ 83 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8460
2019,TAMIL NADU,POLLACHI,11,Rajendhiran R G,IND,0,Graduate,62,"Rs 28,38,321 ~ 28 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8462
2019,TAMIL NADU,POLLACHI,12,Sanuja U,Naam Tamilar Katchi,0,Others,35,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8453
2019,TAMIL NADU,POLLACHI,13,Shanmugasundaram K N,IND,0,5th Pass,60,"Rs 27,61,271 ~ 27 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8456
2019,TAMIL NADU,POLLACHI,14,Shanmugasundaram V,IND,0,8th Pass,41,"Rs 19,26,957 ~ 19 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8457
