Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,TAMIL NADU,RAMANATHAPURAM,11,K. Navaskani,IUML,1,12th Pass,39,"Rs 36,47,38,171 ~ 36 Crore+","Rs 4,70,08,615 ~ 4 Crore+",Yes
2019,TAMIL NADU,RAMANATHAPURAM,1,Alla Pichai,IND,0,Graduate,75,"Rs 1,85,13,000 ~ 1 Crore+","Rs 5,00,000 ~ 5 Lacs+",No
2019,TAMIL NADU,RAMANATHAPURAM,2,Anandharaj. M,IND,0,12th Pass,40,"Rs 15,16,792 ~ 15 Lacs+","Rs 4,50,000 ~ 4 Lacs+",No
2019,TAMIL NADU,RAMANATHAPURAM,3,Asan Ali. A,IND,0,12th Pass,32,Not Available,Not Available,No
2019,TAMIL NADU,RAMANATHAPURAM,4,B. Krishnaraja,IND,0,Others,44,"Rs 1,65,000 ~ 1 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,RAMANATHAPURAM,5,C. Ananth,IND,0,Graduate,28,"Rs 1,02,000 ~ 1 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,RAMANATHAPURAM,6,Deva Sitham. I,IND,2,Graduate Professional,32,Not Available,Not Available,No
2019,TAMIL NADU,RAMANATHAPURAM,7,G. Kesav Yadav,Purvanchal Janta Party (Secular),0,Post Graduate,56,"Rs 2,18,92,000 ~ 2 Crore+","Rs 41,00,000 ~ 41 Lacs+",No
2019,TAMIL NADU,RAMANATHAPURAM,8,Jawahir Ali. H,IND,0,10th Pass,32,"Rs 4,15,000 ~ 4 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,RAMANATHAPURAM,9,Jeyapandian. R,IND,1,Graduate Professional,26,Not Available,Not Available,No
2019,TAMIL NADU,RAMANATHAPURAM,10,K. Kurunthappan,IND,0,8th Pass,42,"Rs 27,36,915 ~ 27 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,RAMANATHAPURAM,12,K. Panchatcharam,BSP,2,Graduate Professional,43,Not Available,Not Available,No
2019,TAMIL NADU,RAMANATHAPURAM,13,Karuppasamy. N,IND,0,Others,27,"Rs 5,40,000 ~ 5 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No
2019,TAMIL NADU,RAMANATHAPURAM,14,N. Kathiravan,IND,0,8th Pass,52,"Rs 16,10,000 ~ 16 Lacs+","Rs 3,40,000 ~ 3 Lacs+",No
2019,TAMIL NADU,RAMANATHAPURAM,15,Nainar Nagenthran,BJP,1,Post Graduate,59,Not Available,Not Available,No
2019,TAMIL NADU,RAMANATHAPURAM,16,P. Loganathan,Pragatishil Samajwadi Party (Lohia),0,10th Pass,39,"Rs 13,000 ~ 13 Thou+",Rs 0 ~,No
2019,TAMIL NADU,RAMANATHAPURAM,17,Prabhakaran. S,IND,2,Post Graduate,37,"Rs 16,25,726 ~ 16 Lacs+","Rs 85,000 ~ 85 Thou+",No
2019,TAMIL NADU,RAMANATHAPURAM,18,Rajanikanth Agamudaiyar,IND,2,Graduate Professional,46,Not Available,Not Available,No
2019,TAMIL NADU,RAMANATHAPURAM,19,S. Mohamed Ali Jinnah,IND,0,10th Pass,37,"Rs 2,93,000 ~ 2 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,RAMANATHAPURAM,20,T. Bhuvaneswari,Naam Tamilar Katchi,0,Graduate,37,"Rs 9,55,530 ~ 9 Lacs+","Rs 3,50,000 ~ 3 Lacs+",No
2019,TAMIL NADU,RAMANATHAPURAM,21,V. Vinayagamoorthy,IND,0,Graduate Professional,47,Not Available,Not Available,No
2019,TAMIL NADU,RAMANATHAPURAM,22,V.D.N. Anandh. B.E,IND,4,Graduate Professional,38,"Rs 4,90,57,656 ~ 4 Crore+","Rs 61,03,249 ~ 61 Lacs+",No
2019,TAMIL NADU,RAMANATHAPURAM,23,Vijaya Baskar,Makkal Needhi Maiam,0,Graduate Professional,30,"Rs 26,36,018 ~ 26 Lacs+",Rs 0 ~,No
