Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,TAMIL NADU,THANJAVUR,6,Palanimanickam.S.S,DMK,0,Graduate Professional,68,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8119
2019,TAMIL NADU,THANJAVUR,1,Abdulbuhari.K,IND,0,10th Pass,42,"Rs 1,30,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8125
2019,TAMIL NADU,THANJAVUR,2,Krishnakumar.N,Naam Tamilar Katchi,0,12th Pass,44,"Rs 48,57,567 ~ 48 Lacs+","Rs 37,000 ~ 37 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8121
2019,TAMIL NADU,THANJAVUR,3,Murugesan.P,IND,3,Post Graduate,62,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8129
2019,TAMIL NADU,THANJAVUR,4,Muthuvel.S,IND,0,Graduate Professional,49,"Rs 37,78,000 ~ 37 Lacs+","Rs 10,08,000 ~ 10 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8128
2019,TAMIL NADU,THANJAVUR,5,Natarajan.N.R,Tamil Maanila Congress (Moopanar),0,Graduate Professional,52,"Rs 15,22,93,009 ~ 15 Crore+","Rs 3,05,42,133 ~ 3 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8123
2019,TAMIL NADU,THANJAVUR,7,Panasaiarangan.K.N,Desiya Makkal Sakthi Katchi,0,10th Pass,56,"Rs 2,59,026 ~ 2 Lacs+","Rs 70,000 ~ 70 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=4761
2019,TAMIL NADU,THANJAVUR,8,Samantha.K.S,IND,0,Others,36,"Rs 3,01,197 ~ 3 Lacs+","Rs 2,70,000 ~ 2 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8126
2019,TAMIL NADU,THANJAVUR,9,Sampath Ramadoss,Makkal Needhi Maiam,0,Post Graduate,53,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8122
2019,TAMIL NADU,THANJAVUR,10,Selvaraj.R,IND,0,Post Graduate,63,"Rs 88,74,369 ~ 88 Lacs+","Rs 7,76,000 ~ 7 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8127
2019,TAMIL NADU,THANJAVUR,11,Stalin.R,BSP,0,Graduate Professional,26,"Rs 1,26,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8120
2019,TAMIL NADU,THANJAVUR,12,Vijayakumar.T,IND,0,10th Pass,38,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8130
