Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,TAMIL NADU,TIRUVALLUR,6,Dr.K.Jayakumar,INC,0,Doctorate,69,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6362
2019,TAMIL NADU,TIRUVALLUR,1,A.Manikandan,IND,0,12th Pass,32,"Rs 3,32,400 ~ 3 Lacs+","Rs 53,000 ~ 53 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6355
2019,TAMIL NADU,TIRUVALLUR,2,C.Bharath,IND,0,Graduate Professional,26,"Rs 7,11,047 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6370
2019,TAMIL NADU,TIRUVALLUR,3,C.Kalanithi,Anti Corruption Dynamic Party,0,Graduate,39,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6372
2019,TAMIL NADU,TIRUVALLUR,4,D.Anandaraj,IND,0,12th Pass,34,"Rs 1,70,55,961 ~ 1 Crore+","Rs 17,00,000 ~ 17 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6367
2019,TAMIL NADU,TIRUVALLUR,5,D.Ravi Pariyanar,RPI(A),0,10th Pass,43,"Rs 1,45,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5201
2019,TAMIL NADU,TIRUVALLUR,7,Dr.P.Venugopal,AIADMK,0,Graduate Professional,66,"Rs 2,27,71,785 ~ 2 Crore+","Rs 12,49,867 ~ 12 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5200
2019,TAMIL NADU,TIRUVALLUR,8,G.Arulraj,IND,0,Post Graduate,32,"Rs 18,17,032 ~ 18 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6364
2019,TAMIL NADU,TIRUVALLUR,9,G.George,IND,0,Graduate,55,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6361
2019,TAMIL NADU,TIRUVALLUR,10,K.Chandrasekar,IND,0,Graduate Professional,38,"Rs 8,44,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6368
2019,TAMIL NADU,TIRUVALLUR,11,K.Kamalanathan,IND,0,Not Given,38,"Rs 53,02,800 ~ 53 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6374
2019,TAMIL NADU,TIRUVALLUR,12,Logarangan .M,Makkal Needhi Maiam,0,Post Graduate,35,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6365
2019,TAMIL NADU,TIRUVALLUR,13,M.Vetriselvi,Naam Tamilar Katchi,0,Graduate Professional,42,"Rs 3,10,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5199
2019,TAMIL NADU,TIRUVALLUR,14,Murugesan,IND,0,8th Pass,53,"Rs 12,20,000 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6373
2019,TAMIL NADU,TIRUVALLUR,15,N.Vikraman,IND,0,Post Graduate,35,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=5202
2019,TAMIL NADU,TIRUVALLUR,16,Pon.Raja,IND,0,Graduate Professional,43,"Rs 7,43,87,951 ~ 7 Crore+","Rs 1,11,97,323 ~ 1 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6366
2019,TAMIL NADU,TIRUVALLUR,17,R.Anbuchezhian,BSP,0,12th Pass,48,"Rs 52,00,000 ~ 52 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8637
2019,TAMIL NADU,TIRUVALLUR,18,S.Sargunam,IND,0,Graduate Professional,42,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6375
2019,TAMIL NADU,TIRUVALLUR,19,V.Gunasekaran,IND,0,8th Pass,65,"Rs 4,29,210 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6371
2019,TAMIL NADU,TIRUVALLUR,20,Vijaya .R,IND,0,Illiterate,60,"Rs 3,71,570 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=6369
