Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,TELANGANA,MALKAJGIRI,1,Anumula Revanth Reddy,INC,42,Graduate,51,"Rs 24,53,57,182 ~ 24 Crore+","Rs 2,78,07,304 ~ 2 Crore+",Yes
2019,TELANGANA,MALKAJGIRI,2,Balamani Buru,India Praja Bandhu Party,0,Graduate,32,"Rs 2,10,000 ~ 2 Lacs+",Rs 0 ~,No
2019,TELANGANA,MALKAJGIRI,3,Chalika Chandra Sekhar ,IND,0,Graduate,38,Not Available,Not Available,No
2019,TELANGANA,MALKAJGIRI,4,Chamakura Rajaiah,Social Justice Party of India,1,Graduate,43,"Rs 3,05,000 ~ 3 Lacs+",Rs 0 ~,No
2019,TELANGANA,MALKAJGIRI,5,Dharmasanam Bhanumurthy,Praja Satta Party,2,10th Pass,57,"Rs 52,59,500 ~ 52 Lacs+","Rs 6,00,000 ~ 6 Lacs+",No
2019,TELANGANA,MALKAJGIRI,6,Donthula Bikshapathi,IND,0,Graduate,43,Not Available,Not Available,No
2019,TELANGANA,MALKAJGIRI,7,Mahender Reddy Bongunoori,Janasena Party,0,10th Pass,43,"Rs 13,97,14,395 ~ 13 Crore+","Rs 4,07,43,724 ~ 4 Crore+",No
2019,TELANGANA,MALKAJGIRI,8,Rajashekar Reddy Marri,TRS,0,12th Pass,50,"Rs 56,79,40,114 ~ 56 Crore+","Rs 9,14,08,506 ~ 9 Crore+",No
2019,TELANGANA,MALKAJGIRI,9,Rajender Ponnala,IND,0,Post Graduate,31,Not Available,Not Available,No
2019,TELANGANA,MALKAJGIRI,10,Ramchander Rao N ,BJP,1,Post Graduate,59,"Rs 2,59,40,000 ~ 2 Crore+","Rs 61,00,000 ~ 61 Lacs+",No
2019,TELANGANA,MALKAJGIRI,11,Sai Kiran Gone,IND,0,Post Graduate,26,"Rs 2,12,089 ~ 2 Lacs+",Rs 0 ~,No
2019,TELANGANA,MALKAJGIRI,12,Thirupataiah Enduram,IND,0,8th Pass,46,Not Available,Not Available,No
