Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,TRIPURA,TRIPURA_WEST,10,Pratima Bhoumik,BJP,0,Graduate,50,"Rs 6,42,398 ~ 6 Lacs+",Rs 0 ~,Yes
2019,TRIPURA,TRIPURA_WEST,1,Arun Kumar Bhaumik,SUCI(C),0,Graduate,64,"Rs 54,56,399 ~ 54 Lacs+",Rs 0 ~,No
2019,TRIPURA,TRIPURA_WEST,2,Brajalal Debnath,IND,0,Graduate Professional,72,"Rs 54,85,000 ~ 54 Lacs+",Rs 0 ~,No
2019,TRIPURA,TRIPURA_WEST,3,Brishaketu Debbarma,Indigenousn Peoples Front Of Tripura,0,Graduate,42,Not Available,Not Available,No
2019,TRIPURA,TRIPURA_WEST,4,Jayki Murasing,Ambedkarite Party of India,0,12th Pass,25,"Rs 10,700 ~ 10 Thou+",Rs 0 ~,No
2019,TRIPURA,TRIPURA_WEST,5,Kabrabam Dhirendra Singha,IND,0,Post Graduate,43,"Rs 6,587 ~ 6 Thou+",Rs 0 ~,No
2019,TRIPURA,TRIPURA_WEST,6,Maman Khan,AITC,0,Post Graduate,34,Not Available,Not Available,No
2019,TRIPURA,TRIPURA_WEST,7,Narayan Chandra Dey,IND,0,8th Pass,49,Nil,Rs 0 ~,No
2019,TRIPURA,TRIPURA_WEST,8,Prabir Debnath,Amra Bangalee,0,Post Graduate,36,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~,No
2019,TRIPURA,TRIPURA_WEST,9,Pradip Chakraborty,IND,2,10th Pass,52,Not Available,Not Available,No
2019,TRIPURA,TRIPURA_WEST,11,Sankar Prasad Datta,CPI(M),0,Post Graduate,61,"Rs 2,79,48,486 ~ 2 Crore+",Rs 0 ~,No
2019,TRIPURA,TRIPURA_WEST,12,Subal Bhowmik,INC,1,Graduate Professional,58,Not Available,Not Available,No
2019,TRIPURA,TRIPURA_WEST,13,Subal Sarkar,IND,0,10th Pass,60,"Rs 10,452 ~ 10 Thou+",Rs 0 ~,No
