Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,UTTAR PRADESH,BALLIA,10,Virendra Singh,BJP,2,Graduate,62,"Rs 2,44,98,319 ~ 2 Crore+",Rs 0 ~,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12988
2019,UTTAR PRADESH,BALLIA,1,Arvind,Bhartiya Jan Nayak Party,1,12th Pass,60,"Rs 5,04,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13881
2019,UTTAR PRADESH,BALLIA,2,Gopal Ram Kharwar,Gondvana Gantantra Party,0,12th Pass,62,"Rs 11,12,644 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12983
2019,UTTAR PRADESH,BALLIA,3,Janmejay Kumar Prajapati,Bharatiya Samta Samaj Party,0,Others,26,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13883
2019,UTTAR PRADESH,BALLIA,4,Major Ramesh Chandra Upadhyay,Akhil Bharat Hindu Mahasabha,1,Others,67,"Rs 9,31,000 ~ 9 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12984
2019,UTTAR PRADESH,BALLIA,5,Om Prakash Pandey,IND,0,Graduate Professional,28,"Rs 2,90,707 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12987
2019,UTTAR PRADESH,BALLIA,6,Sanatan Pandey,SP,5,Others,56,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13880
2019,UTTAR PRADESH,BALLIA,7,Seema Chauhan,Janta Kranti Party (Rashtravadi),0,Graduate,30,"Rs 16,34,000 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13884
2019,UTTAR PRADESH,BALLIA,8,Uday Prakash,Janta Raj Party,0,Post Graduate,42,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13882
2019,UTTAR PRADESH,BALLIA,9,Vinod,Suheldev Bhartiya Samaj Party,3,12th Pass,51,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12986
