Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,UTTAR PRADESH,BASTI,3,Harish Chandra Alias Harish Dwivedi,BJP,5,Post Graduate,45,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12535
2019,UTTAR PRADESH,BASTI,1,Bhagwandas,IND,0,8th Pass,51,"Rs 18,15,569 ~ 18 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=13489
2019,UTTAR PRADESH,BASTI,2,Chandra Mani Pandey,IND,0,Post Graduate,39,"Rs 1,50,77,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12362
2019,UTTAR PRADESH,BASTI,4,Pankaj Dubey,Lok Gathbandhan Party,0,Post Graduate,36,"Rs 15,38,839 ~ 15 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12537
2019,UTTAR PRADESH,BASTI,5,Pramod Shukla,"Rashtrawadi Party of India,",1,8th Pass,38,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12541
2019,UTTAR PRADESH,BASTI,6,Raj Kishor Singh,INC,0,Graduate,50,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12363
2019,UTTAR PRADESH,BASTI,7,Ram Prasad Chaudhary,BSP,3,Others,65,"Rs 6,60,59,943 ~ 6 Crore+","Rs 11,66,159 ~ 11 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12534
2019,UTTAR PRADESH,BASTI,8,Ram Prasad Chaurasiya,Janhit Kisan Party,0,Graduate Professional,49,"Rs 53,60,601 ~ 53 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12539
2019,UTTAR PRADESH,BASTI,9,Rangi Lal Yadav,IND,0,8th Pass,36,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12536
2019,UTTAR PRADESH,BASTI,10,Rohit Kumar Pathak,Hindusthan Nirman Dal,1,12th Pass,25,"Rs 62,91,133 ~ 62 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12538
2019,UTTAR PRADESH,BASTI,11,Vinod Kumar Rajbhar,Suheldev Bhartiya Samaj Party,0,12th Pass,42,"Rs 20,26,650 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12364
