Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,4,Dr. Mahesh Sharma,BJP,0,Graduate Professional,59,"Rs 47,87,59,568 ~ 47 Crore+","Rs 4,38,63,749 ~ 4 Crore+",Yes
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,1,Ashok Kumar Adhana,IND,0,10th Pass,37,"Rs 44,00,000 ~ 44 Lacs+","Rs 42,735 ~ 42 Thou+",No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,2,Dayaram,Aapki Apni Party (Peoples),0,10th Pass,42,"Rs 1,06,300 ~ 1 Lacs+","Rs 21,400 ~ 21 Thou+",No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,3,Dr. Arvind Kumar Singh,INC,0,Doctorate,30,Not Available,Not Available,No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,5,Jagdeep Singh,Loktantrik Janshakti Party,0,Graduate Professional,38,"Rs 38,50,000 ~ 38 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,6,Jitendra Singh,Pragatishil Samajwadi Party (Lohia),1,12th Pass,48,Not Available,Not Available,No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,7,Raghuvendra Kumar,Subhashwadi Bhartiya Samajwadi Party,0,Post Graduate,48,"Rs 47,68,026 ~ 47 Lacs+","Rs 32,00,000 ~ 32 Lacs+",No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,8,Rampal,Rashtriya Samaj Paksha,0,Post Graduate,34,"Rs 7,74,000 ~ 7 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,9,Rodash Gupta,IND,0,Post Graduate,38,Not Available,Not Available,No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,10,Satveer,BSP,1,8th Pass,42,"Rs 5,35,81,678 ~ 5 Crore+","Rs 70,70,674 ~ 70 Lacs+",No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,11,Sher Singh Upaddhaya,Rashtriya Janta Party,0,8th Pass,51,"Rs 16,51,000 ~ 16 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,12,Vinod Kumar Nagar,Rashtriya Bharatiya Jan Jan Party,1,Post Graduate,38,Not Available,Not Available,No
2019,UTTAR PRADESH,GAUTAM_BUDDHA_NAGAR,13,Vinod Sharma,All Indian Rajiv Congress Party,0,12th Pass,46,"Rs 46,83,847 ~ 46 Lacs+",Rs 0 ~,No
