Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,UTTAR PRADESH,GHOSI,2,Atul Kumar Singh,BSP,13,Graduate,36,"Rs 6,65,36,025 ~ 6 Crore+","Rs 34,54,591 ~ 34 Lacs+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12946
2019,UTTAR PRADESH,GHOSI,1,Abushad,Akhand Samaj Party,0,Literate,47,"Rs 3,71,500 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14105
2019,UTTAR PRADESH,GHOSI,3,Atul Kumar Singh,CPI,0,Graduate Professional,64,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14104
2019,UTTAR PRADESH,GHOSI,4,Bal Krishna,INC,2,Post Graduate,70,"Rs 1,11,58,421 ~ 1 Crore+","Rs 6,73,100 ~ 6 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12944
2019,UTTAR PRADESH,GHOSI,5,Geeta,Ambedkar Samaj Party,2,Literate,40,"Rs 1,37,786 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14107
2019,UTTAR PRADESH,GHOSI,6,Harinarayan,BJP,0,Literate,78,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12949
2019,UTTAR PRADESH,GHOSI,7,Kishan Lal,Rashtriya Krantikari Samajwadi Party,0,12th Pass,46,"Rs 15,85,000 ~ 15 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14106
2019,UTTAR PRADESH,GHOSI,8,Mahendra,Suheldev Bhartiya Samaj Party,0,10th Pass,53,"Rs 1,06,13,500 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12945
2019,UTTAR PRADESH,GHOSI,9,Paras,Rashtriya Jantantrik Bharat Vikas Party,1,Post Graduate,66,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14108
2019,UTTAR PRADESH,GHOSI,10,Praveen Kumar Singh,Proutist Sarva Samaj,1,Graduate Professional,45,"Rs 9,38,000 ~ 9 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14109
2019,UTTAR PRADESH,GHOSI,11,Rajesh Kumar Gond,Gondvana Gantantra Party,0,10th Pass,44,"Rs 1,65,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12947
2019,UTTAR PRADESH,GHOSI,12,Santosh,IND,0,Post Graduate,37,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14111
2019,UTTAR PRADESH,GHOSI,13,Shefkat Taki,Peace Party,0,Graduate,40,"Rs 38,00,000 ~ 38 Lacs+","Rs 7,00,000 ~ 7 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=12943
2019,UTTAR PRADESH,GHOSI,14,Surya Kumar,IND,0,10th Pass,32,"Rs 18,61,000 ~ 18 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=14110
