Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,UTTAR PRADESH,KUSHI_NAGAR,14,Vijay Kumar Dubey,BJP,2,12th Pass,50,"Rs 2,18,60,780 ~ 2 Crore+","Rs 3,16,847 ~ 3 Lacs+",Yes
2019,UTTAR PRADESH,KUSHI_NAGAR,1,Amiruddin,Apna Dal United Party,0,Graduate,42,"Rs 67,70,000 ~ 67 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,KUSHI_NAGAR,2,Arvind Yadav,CPI(ML) Red Star,0,Graduate,46,"Rs 30,77,500 ~ 30 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,KUSHI_NAGAR,3,Dr Ganesh,Akhil Bhartiya Gondwana Party,0,Graduate Professional,41,Not Available,Not Available,No
2019,UTTAR PRADESH,KUSHI_NAGAR,4,Guddi Kinnar,IND,0,Literate,37,"Rs 3,62,500 ~ 3 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,KUSHI_NAGAR,5,Kunwer Ratanjit Pratap Narayan Singh,INC,0,Graduate,55,"Rs 29,54,74,005 ~ 29 Crore+",Rs 0 ~,No
2019,UTTAR PRADESH,KUSHI_NAGAR,6,Lalita,Akhil Bhartiya Navnirman Party,0,Post Graduate,36,Not Available,Not Available,No
2019,UTTAR PRADESH,KUSHI_NAGAR,7,N.P. Kushwaha Alias Nathuni Prasad Kushwaha,SP,0,Post Graduate,65,"Rs 3,74,74,062 ~ 3 Crore+","Rs 40,00,000 ~ 40 Lacs+",No
2019,UTTAR PRADESH,KUSHI_NAGAR,8,P.C. Kureel,Indian National League,1,12th Pass,62,"Rs 2,95,82,528 ~ 2 Crore+","Rs 5,45,000 ~ 5 Lacs+",No
2019,UTTAR PRADESH,KUSHI_NAGAR,9,Rajiv,Suheldev Bhartiya Samaj Party,0,Graduate,33,Not Available,Not Available,No
2019,UTTAR PRADESH,KUSHI_NAGAR,10,Ram Pratap,Purvanchal Mahapanchayat,0,8th Pass,42,"Rs 32,54,000 ~ 32 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,KUSHI_NAGAR,11,Shiv Kumar,IND,3,10th Pass,49,"Rs 52,00,000 ~ 52 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,KUSHI_NAGAR,12,Umesh Singh,Bhartiya Shakti Chetna Party,0,10th Pass,38,Not Available,Not Available,No
2019,UTTAR PRADESH,KUSHI_NAGAR,13,Usman,Peace Party,0,Literate,58,"Rs 16,60,000 ~ 16 Lacs+","Rs 80,000 ~ 80 Thou+",No
