Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,UTTAR PRADESH,RAMPUR,6,Mohammad Azam Khan,SP,10,Graduate Professional,64,Not Available,Not Available,Yes
2019,UTTAR PRADESH,RAMPUR,1,Arshad Warsi,Minorities Democratic Party,3,Literate,37,"Rs 17,35,000 ~ 17 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,RAMPUR,2,Haneef Khan,IND,0,10th Pass,65,"Rs 8,47,312 ~ 8 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,RAMPUR,3,Ishrat Khan,All India Minorities Front,0,Post Graduate,42,Not Available,Not Available,No
2019,UTTAR PRADESH,RAMPUR,4,Javed Khan,IND,1,Illiterate,43,"Rs 6,20,608 ~ 6 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,RAMPUR,5,Jayaprada Nahata,BJP,0,12th Pass,57,"Rs 27,92,73,009 ~ 27 Crore+","Rs 1,62,04,374 ~ 1 Crore+",No
2019,UTTAR PRADESH,RAMPUR,7,Mohd. Khushi,United Democratic Front Secular,4,10th Pass,30,"Rs 85,000 ~ 85 Thou+",Rs 0 ~,No
2019,UTTAR PRADESH,RAMPUR,8,Naim,IND,0,Illiterate,51,"Rs 3,21,961 ~ 3 Lacs+",Rs 0 ~,No
2019,UTTAR PRADESH,RAMPUR,9,Sameena Begum,IND,1,Others,43,Not Available,Not Available,No
2019,UTTAR PRADESH,RAMPUR,10,Sanjay Kapoor,INC,0,Graduate Professional,56,"Rs 9,71,99,000 ~ 9 Crore+","Rs 55,25,000 ~ 55 Lacs+",No
2019,UTTAR PRADESH,RAMPUR,11,Saroj,Peoples Party of India (Democratic),0,Post Graduate,38,"Rs 16,79,000 ~ 16 Lacs+","Rs 8,500 ~ 8 Thou+",No
