Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,WEST BENGAL,DARJEELING,10,Raju Bista,BJP,0,Graduate,33,"Rs 19,53,73,460 ~ 19 Crore+","Rs 2,74,28,941 ~ 2 Crore+",Yes
2019,WEST BENGAL,DARJEELING,1,Ajay Dahal,IND,0,12th Pass,46,"Rs 55,46,008 ~ 55 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,DARJEELING,2,Amar Singh Rai,AITC,2,Post Graduate,71,"Rs 1,70,51,116 ~ 1 Crore+","Rs 1,20,000 ~ 1 Lacs+",No
2019,WEST BENGAL,DARJEELING,3,Bharat Dong,Gorkha Rashtriya Congress,1,8th Pass,75,Not Available,Not Available,No
2019,WEST BENGAL,DARJEELING,4,Christopher Gahatraj,Indian Democratic Republican Front,0,Graduate,65,"Rs 3,000 ~ 3 Thou+",Rs 0 ~,No
2019,WEST BENGAL,DARJEELING,5,Digbijay Mandal,IND,0,10th Pass,58,"Rs 25,42,668 ~ 25 Lacs+","Rs 37,618 ~ 37 Thou+",No
2019,WEST BENGAL,DARJEELING,6,Dipak Kumar Roy,Kamatapur Peoples Party (United),0,10th Pass,49,Not Available,Not Available,No
2019,WEST BENGAL,DARJEELING,7,Harka Bahadur Chhetri,All India Jana Andolan Party,3,Doctorate,62,"Rs 1,08,44,249 ~ 1 Crore+",Rs 0 ~,No
2019,WEST BENGAL,DARJEELING,8,Nirode Chandra Adhikary,IND,0,12th Pass,66,"Rs 11,10,777 ~ 11 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,DARJEELING,9,Rajesh Singh,IND,0,12th Pass,49,Not Available,Not Available,No
2019,WEST BENGAL,DARJEELING,11,Reseeka Chettri,IND,0,12th Pass,29,"Rs 7,71,856 ~ 7 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,DARJEELING,12,Saman Pathak,CPI(M),7,Graduate,46,Not Available,Not Available,No
2019,WEST BENGAL,DARJEELING,13,Sankar Malakar,INC,2,Graduate,65,"Rs 3,65,63,205 ~ 3 Crore+",Rs 0 ~,No
2019,WEST BENGAL,DARJEELING,14,Sudip Mandal,BSP,0,12th Pass,40,"Rs 25,50,000 ~ 25 Lacs+","Rs 4,47,000 ~ 4 Lacs+",No
2019,WEST BENGAL,DARJEELING,15,Sunil Pandit,Rashtriya Janasachetan Party,0,8th Pass,39,Not Available,Not Available,No
2019,WEST BENGAL,DARJEELING,16,Tanmay Dutta,SUCI(C),0,Graduate,53,"Rs 7,16,677 ~ 7 Lacs+",Rs 0 ~,No
